id,correct,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18
3,1,221,683,372,75,2,71,46,0,442,274,299,488,110,324,116,80,0,0
4,1,574,1056,918,231,17,280,26,0,184,724,415,469,310,109,150,67,0,0
5,1,89,406,610,238,56,58,116,0,87,621,574,295,377,260,366,33,0,0
8,1,110,793,561,148,199,104,40,0,494,542,672,509,534,480,421,412,4,0
9,1,294,1145,415,101,305,40,144,0,311,224,88,3,0,0,0,0,0,0
11,1,3,234,1147,304,125,181,11,0,534,556,106,260,73,208,241,223,0,0
13,1,182,578,1239,176,62,13,3,0,336,674,789,593,952,538,595,152,0,0
15,0,316,783,508,44,92,36,2,0,692,419,149,77,203,433,257,244,0,0
17,1,251,496,2024,550,6,0,1,3,488,516,315,321,497,118,240,434,0,5
20,1,138,406,1644,419,145,108,53,0,602,350,536,209,359,848,631,445,0,0
22,1,7,42,27,11,54,8,0,0,12,0,0,0,0,0,0,1,0,0
23,1,155,289,285,105,94,47,33,8,262,243,138,94,41,23,9,4,0,0
24,0,201,964,373,203,40,129,60,1,907,879,549,369,652,534,176,224,0,0
26,1,20,408,310,148,60,2,138,0,117,205,198,162,302,363,259,97,0,0
28,1,1018,828,1228,389,39,49,61,0,278,650,346,378,866,294,306,206,22,17
30,0,23,1148,541,4,0,1,6,0,94,503,273,121,66,262,479,148,0,0
35,1,341,723,230,94,35,8,2,0,381,243,558,566,353,592,501,26,0,0
37,0,346,947,304,322,176,231,49,2,405,748,205,219,242,220,42,20,0,0
38,0,685,1447,1144,616,214,128,81,47,627,385,177,207,312,128,176,355,17,6
46,1,14,51,148,39,8,3,6,0,138,91,42,7,123,76,139,62,0,0
48,1,149,856,901,98,82,74,23,0,366,232,274,148,238,90,138,127,0,0
50,1,338,571,791,366,105,286,587,0,433,163,109,44,37,55,24,15,7,0
55,1,654,1544,563,77,46,173,6,0,849,1587,1191,611,867,388,259,61,0,0
57,1,110,531,204,87,14,1,102,0,209,193,254,305,318,307,231,78,3,0
64,1,286,882,1434,290,203,403,101,8,945,1095,709,429,574,881,396,477,0,0
69,0,97,957,1651,548,118,5,8,27,650,340,1271,238,820,801,656,308,0,0
72,1,113,697,294,77,137,105,3,0,104,89,116,172,386,423,720,393,0,0
73,1,262,2077,412,67,74,7,8,3,671,1092,726,389,1293,509,486,275,0,0
74,1,69,279,524,428,3,0,60,0,363,412,319,222,399,229,208,278,0,0
76,0,204,931,597,91,78,254,267,0,563,104,108,21,35,2,4,1,0,0
86,1,584,1105,7810,378,37,2,4,0,1168,1869,926,710,1239,1054,962,278,0,0
92,1,102,506,614,147,85,23,44,0,223,233,85,0,0,0,0,0,0,0
93,0,204,331,478,72,45,2,22,0,103,137,9,33,144,85,74,92,0,0
95,1,147,330,147,57,186,299,343,3,258,61,92,114,147,70,52,6,0,0
99,1,36,166,224,87,161,51,10,0,449,525,777,589,378,468,131,48,0,0
102,1,62,211,431,221,119,70,108,0,257,72,9,4,26,22,5,0,0,0
111,1,151,322,139,84,138,193,582,3,108,307,138,42,2,0,1,0,0,0
115,1,143,1130,252,31,89,0,0,0,264,135,157,7,1025,523,608,69,0,0
116,1,135,499,710,87,247,52,50,0,217,69,61,157,71,36,1,5,1,0
117,1,176,1210,540,19,150,3,54,0,1155,647,585,228,449,180,170,37,0,0
118,1,168,414,961,288,718,209,137,0,495,937,808,170,304,239,437,107,0,0
123,0,499,583,1172,313,17,52,33,41,188,203,160,362,488,254,235,147,0,0
124,1,434,1130,691,191,124,184,102,0,733,576,378,160,46,44,55,60,0,0
126,1,217,715,1512,196,58,57,65,0,524,421,937,398,517,359,494,115,0,0
127,1,64,276,387,283,152,18,16,1,362,280,402,352,279,200,193,139,0,0
129,0,57,296,249,191,91,58,19,6,11,24,16,22,0,0,0,0,0,0
130,0,19,47,44,20,0,0,0,0,16,1,2,9,0,1,0,0,0,0
132,0,478,1435,1038,561,301,108,244,101,855,581,1227,1229,756,315,171,12,33,13
134,0,177,768,214,169,2,1,17,0,212,20,78,114,120,39,74,0,0,0
