id,correct,line1,line2,line3,line4,line5,line6,line7,line8,line9,line10,line11,line12,line13,line14,line15,line16,line17,line18
participant1,1,18,46,69,22,7,63,7,0,76,118,123,50,183,177,172,81,0,0
participant10,1,213,194,88,20,0,0,3,35,113,828,306,421,159,431,135,124,0,0
participant100,1,0,0,0,0,49,3,2,108,30,57,5,191,6,150,12,9,0,0
participant101,0,330,578,591,77,79,2,39,24,600,211,356,682,347,161,213,360,12,0
participant102,1,62,211,431,221,119,70,108,0,257,72,9,4,26,22,5,0,0,0
participant103,0,0,0,0,1,1,0,0,0,2,1,6,18,18,20,17,0,0,0
participant104,1,256,626,1198,535,433,82,65,32,683,1596,947,370,1003,397,402,373,0,14
participant105,1,17,203,262,49,96,69,45,0,169,355,426,177,475,427,417,312,0,0
participant106,1,3,302,169,172,121,0,12,13,138,186,112,45,174,90,429,176,0,0
participant107,0,233,594,664,131,248,217,23,0,573,645,610,197,1143,156,527,90,0,0
participant108,1,195,352,333,38,103,37,34,0,325,388,358,203,324,448,429,76,0,0
participant11,1,3,234,1147,304,125,181,11,0,534,556,106,260,73,208,241,223,0,0
participant110,0,137,96,268,126,497,232,31,0,14,750,382,323,242,209,299,67,0,0
participant111,1,151,322,139,84,138,193,582,3,108,307,138,42,2,0,1,0,0,0
participant112,1,114,210,438,290,256,70,14,0,308,747,849,358,268,223,520,177,0,0
participant113,1,389,578,241,13,53,25,3,0,121,340,689,1245,805,627,398,380,0,0
participant114,1,268,173,135,94,103,2,24,0,7,330,234,27,7,138,245,160,24,0
participant115,1,143,1130,252,31,89,0,0,0,264,135,157,7,1025,523,608,69,0,0
participant116,1,135,499,710,87,247,52,50,0,217,69,61,157,71,36,1,5,1,0
participant117,1,176,1210,540,19,150,3,54,0,1155,647,585,228,449,180,170,37,0,0
participant118,1,168,414,961,288,718,209,137,0,495,937,808,170,304,239,437,107,0,0
participant119,0,201,331,305,278,52,49,98,57,447,244,92,106,51,12,12,21,0,0
participant12,0,84,128,425,298,212,133,237,0,107,450,139,214,195,230,76,272,0,0
participant120,0,483,578,358,233,152,27,7,0,788,513,956,266,762,533,164,207,0,0
participant121,1,43,217,203,191,61,86,32,0,1065,464,274,378,309,119,452,195,0,0
participant122,1,0,80,108,114,133,0,10,0,249,156,378,165,276,0,1,243,0,0
participant123,0,499,583,1172,313,17,52,33,41,188,203,160,362,488,254,235,147,0,0
participant124,1,434,1130,691,191,124,184,102,0,733,576,378,160,46,44,55,60,0,0
participant125,1,129,299,311,238,130,31,117,2,528,886,238,183,249,235,348,184,0,0
participant126,1,217,715,1512,196,58,57,65,0,524,421,937,398,517,359,494,115,0,0
participant127,1,64,276,387,283,152,18,16,1,362,280,402,352,279,200,193,139,0,0
participant128,1,47,405,451,266,225,232,154,24,719,399,457,344,311,417,510,328,1,0
participant129,0,57,296,249,191,91,58,19,6,11,24,16,22,0,0,0,0,0,0
participant13,1,182,578,1239,176,62,13,3,0,336,674,789,593,952,538,595,152,0,0
participant130,0,19,47,44,20,0,0,0,0,16,1,2,9,0,1,0,0,0,0
participant131,0,46,315,30,167,172,1,87,0,737,1088,448,472,467,472,920,219,0,0
participant132,0,478,1435,1038,561,301,108,244,101,855,581,1227,1229,756,315,171,12,33,13
participant133,1,381,841,355,137,96,16,37,0,606,1310,181,699,629,194,61,18,1,0
participant134,0,177,768,214,169,2,1,17,0,212,20,78,114,120,39,74,0,0,0
participant135,0,357,377,247,80,98,185,75,0,323,814,729,419,468,587,552,597,1,0
participant136,1,112,746,1007,176,29,58,262,0,646,617,532,583,236,212,170,0,0,1
participant137,1,2,10,257,120,397,177,90,0,129,122,492,313,197,372,57,0,0,0
participant138,1,528,586,1141,159,20,32,96,0,500,119,368,345,97,168,408,155,3,26
participant139,1,110,171,520,366,102,240,1,0,159,24,77,221,178,1,72,403,1,0
participant14,1,38,391,40,91,86,0,17,3,111,55,225,98,355,1122,324,254,0,0
participant140,0,193,359,170,60,39,14,59,0,198,303,366,286,344,242,200,38,0,0
participant141,1,87,829,985,317,366,118,1,0,1554,996,569,653,723,519,309,1,0,0
participant142,1,168,743,159,364,266,71,41,6,1506,1024,729,308,867,422,956,193,0,0
participant143,1,100,247,187,56,53,1,0,0,863,473,647,99,119,186,193,8,0,0
participant144,1,27,201,461,84,19,24,9,0,343,504,574,280,482,209,117,143,0,0
participant145,1,466,1927,894,192,95,117,57,0,204,197,270,273,302,250,259,247,0,0
participant146,0,267,754,327,237,37,1,4,0,30,363,205,65,386,211,136,56,71,0
participant147,1,121,327,518,30,154,3,6,0,960,1160,1922,466,787,966,105,61,0,0
participant148,0,0,285,398,3,0,4,1,0,187,166,231,463,440,306,104,34,0,0
participant149,1,131,167,99,76,165,7,11,0,330,187,236,331,146,37,10,1,0,0
participant15,0,316,783,508,44,92,36,2,0,692,419,149,77,203,433,257,244,0,0
participant150,1,45,271,254,63,13,14,0,0,52,22,74,104,132,71,325,248,0,0
participant151,1,325,750,642,212,61,86,31,0,540,1108,867,1733,2043,974,1480,1475,0,0
participant152,1,368,212,35,11,27,18,2,0,339,229,993,413,599,424,72,219,0,0
participant153,0,107,364,350,75,117,109,2,0,233,376,482,570,524,348,119,43,0,0
participant154,1,994,1551,777,112,69,94,8,0,332,1271,755,527,313,1090,595,498,0,0
participant155,1,5,74,471,46,93,100,51,0,718,433,306,119,934,311,174,130,0,0
participant156,0,160,30,49,8,3,2,2,0,22,98,166,45,141,20,27,0,0,0
participant157,0,528,736,879,328,249,220,155,6,87,55,27,27,33,24,4,8,0,0
participant158,1,0,265,514,379,39,207,122,1,80,484,367,393,329,269,276,334,0,0
participant159,0,163,547,560,100,16,2,36,0,335,112,117,73,153,168,130,81,0,0
participant16,1,2,140,916,130,309,29,57,0,1109,535,315,198,279,463,721,190,0,0
participant160,1,3,9,168,413,325,385,212,0,231,2330,1741,964,1018,1332,1445,527,0,1
participant162,1,27,580,748,354,128,137,41,0,504,874,813,80,986,414,1276,131,0,0
participant163,1,1,62,53,83,120,2,12,0,430,178,941,358,365,1,153,120,0,0
participant164,1,320,1053,918,440,166,119,525,0,765,339,341,252,259,241,273,125,0,0
participant165,1,306,1530,1775,327,117,40,119,0,1045,632,1331,733,1177,17,16,0,0,0
participant166,1,375,650,639,273,231,188,39,3,932,802,966,481,1397,777,617,33,0,0
participant167,0,84,62,83,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
participant168,0,492,925,1034,270,108,92,97,29,2353,2282,963,1528,1416,339,587,95,0,0
participant169,1,17,206,2209,226,535,179,51,0,868,1378,533,241,370,169,684,155,0,0
participant17,1,251,496,2024,550,6,0,1,3,488,516,315,321,497,118,240,434,0,5
participant170,0,194,124,141,81,13,10,0,0,502,42,21,3,3,8,38,122,1,5
participant171,1,128,552,980,106,42,135,1,0,589,690,680,248,308,70,241,184,0,0
participant172,1,450,447,447,166,2,0,1,0,132,447,415,33,215,68,70,33,0,0
participant173,1,31,63,57,76,69,22,13,2,6,1,1,0,1,0,0,0,0,0
participant174,1,118,707,690,256,123,86,85,0,523,606,252,98,202,32,16,12,0,0
participant176,1,40,361,1274,369,789,317,490,0,704,1120,1138,576,908,1063,1404,807,0,1
participant177,1,0,182,985,195,271,58,21,34,1412,734,367,247,524,623,527,476,0,0
participant178,1,258,666,632,96,123,19,55,0,198,684,746,812,464,259,406,293,0,0
participant179,1,387,1528,2837,1186,662,278,27,27,1469,806,1052,742,451,248,156,5,0,0
participant18,1,0,45,26,1,1,1,46,0,0,0,1,2,28,244,39,8,0,0
participant180,1,129,286,208,160,200,43,11,0,326,245,260,140,361,198,347,449,0,0
participant181,0,62,73,205,29,12,14,3,0,343,155,273,337,409,178,208,2,1,0
participant182,1,236,595,743,259,105,114,30,1,630,222,405,339,721,492,600,358,0,0
participant183,1,395,783,670,488,450,313,324,0,941,964,608,350,545,810,780,183,0,0
participant184,1,502,1424,869,215,35,76,86,0,669,412,1229,583,257,69,110,21,0,0
participant185,1,0,99,221,2,116,110,3,10,276,357,506,231,128,138,264,67,0,0
participant186,1,322,467,96,47,3,49,106,19,814,913,845,182,376,181,750,227,0,0
participant187,1,108,307,357,136,111,66,94,35,258,258,182,121,105,43,44,16,0,4
participant189,0,296,605,782,154,109,11,17,0,852,219,190,391,618,159,565,211,1,0
participant19,1,54,111,267,53,78,98,87,0,344,283,88,217,177,139,110,49,22,0
participant190,1,80,181,39,44,3,2,2,0,944,116,647,319,280,135,51,1,0,0
participant191,1,139,135,285,71,102,97,16,0,589,585,358,368,497,182,135,36,0,0
participant192,0,92,138,1401,137,307,152,37,0,287,1138,1671,634,1957,859,693,187,0,0
participant193,1,295,605,30,6,4,2,50,68,193,183,277,184,343,200,370,160,0,0
participant194,1,10,185,1054,533,575,445,136,0,636,333,784,483,962,1480,1189,372,0,0
participant195,1,90,835,1746,577,330,292,228,0,1098,500,463,667,469,390,265,65,0,0
participant196,0,147,383,349,206,248,23,14,2,252,1324,1467,1250,560,564,552,231,0,1
participant197,0,21,315,255,123,4,95,0,0,1687,501,235,343,357,135,203,0,0,0
participant198,1,4,19,334,82,160,126,132,0,1435,305,333,665,300,89,76,15,0,0
participant199,1,8,72,239,79,71,43,14,0,88,73,142,21,21,41,1,0,0,0
participant2,0,281,497,218,149,148,28,29,0,509,455,401,376,395,144,95,56,0,0
participant20,1,138,406,1644,419,145,108,53,0,602,350,536,209,359,848,631,445,0,0
participant200,1,97,83,1372,97,161,63,226,0,494,441,215,137,227,215,144,186,0,0
participant201,1,15,384,482,77,113,104,81,0,235,475,90,158,180,138,37,61,0,0
participant202,1,33,914,1642,431,34,5,17,0,246,311,289,323,688,346,193,63,0,0
participant203,0,59,142,253,188,67,54,148,0,797,591,451,189,41,12,20,11,1,0
participant204,0,174,61,23,15,145,1,2,0,108,68,107,177,108,92,161,31,0,0
participant206,0,116,721,1823,167,332,113,73,0,1551,1060,980,467,200,580,718,159,15,0
participant207,1,243,1152,900,176,94,27,4,0,864,636,1059,289,328,1014,712,268,0,0
participant208,1,647,1650,472,312,179,7,11,21,1155,394,898,225,276,139,62,66,0,0
participant209,1,7,7,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
participant21,1,184,785,306,182,192,38,9,0,1012,695,1210,561,655,660,344,75,0,0
participant210,1,36,119,660,89,153,68,11,0,188,643,102,222,456,72,141,44,0,0
participant211,1,185,827,292,289,61,113,102,1,427,953,779,682,602,568,265,364,0,0
participant212,0,289,175,419,156,152,5,19,0,408,716,357,391,494,862,156,80,0,0
participant213,0,138,396,648,211,105,90,166,18,277,401,478,237,374,305,235,0,0,0
participant214,1,55,330,457,153,33,65,50,0,525,832,686,786,567,372,231,159,0,0
participant215,0,280,733,311,185,82,5,1,0,254,592,301,375,301,145,451,254,0,0
participant216,1,150,537,364,130,62,80,134,1,424,244,89,31,3,4,0,0,0,0
participant22,1,7,42,27,11,54,8,0,0,12,0,0,0,0,0,0,1,0,0
participant23,1,155,289,285,105,94,47,33,8,262,243,138,94,41,23,9,4,0,0
participant24,0,201,964,373,203,40,129,60,1,907,879,549,369,652,534,176,224,0,0
participant25,1,182,691,1019,69,457,117,84,0,363,826,514,710,1602,1069,985,119,0,0
participant26,1,20,408,310,148,60,2,138,0,117,205,198,162,302,363,259,97,0,0
participant27,1,134,280,113,67,6,6,83,0,14,93,393,175,443,246,499,176,0,0
participant28,1,1018,828,1228,389,39,49,61,0,278,650,346,378,866,294,306,206,22,17
participant29,0,1,275,327,377,172,115,3,0,204,317,524,572,406,570,385,581,0,0
participant3,1,221,683,372,75,2,71,46,0,442,274,299,488,110,324,116,80,0,0
participant30,0,23,1148,541,4,0,1,6,0,94,503,273,121,66,262,479,148,0,0
participant31,1,383,811,680,142,90,10,42,0,238,196,563,429,1240,509,752,338,0,0
participant32,1,27,217,522,257,103,50,2,0,325,345,859,171,392,92,201,388,0,0
participant33,1,105,268,577,6,74,13,48,0,99,654,356,92,422,127,547,306,0,0
participant34,0,55,273,1289,3,166,179,1,0,545,508,2541,190,448,418,123,131,0,0
participant35,1,341,723,230,94,35,8,2,0,381,243,558,566,353,592,501,26,0,0
participant36,0,0,0,4,38,408,133,81,0,1,51,359,138,244,202,485,304,0,0
