id,age,gender,mother_tongue,english_level,visual_aid,expertise_experiment_language,time_experiment_language,frequency_experiment_language,expertise_programming,time_programming,frequency_other_language,order_rectangle,order_vehicle,correct_rectangle,correct_vehicle,stimulus_rectangle,stimulus_vehicle,line_rectangle,type_rectangle,line_vehicle,type_vehicle
1,63,male,Czech,high,glasses,high,30,not at all,high,40.0+,more than 1 hour / day,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,13,instance,11,if
2,24,male,Slovak,medium,glasses,medium,2,more than 1 hour / day,medium,5,not at all,1,2,0,0,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,10,functions
3,27,female,Hebrew,high,no,none,0,not at all,none,0,not at all,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,2,variable
4,24,male,Hindi,high,glasses,medium,4,less than 1 hour / week,medium,10,less than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,10,functions
5,24,male,Italian,medium,no,none,0,not at all,low,5,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,4,constructor
6,21,male,Chinese,medium,no,medium,2,less than 1 hour / day,medium,3,less than 1 hour / week,1,2,1,0,rectangle_java.jpg,vehicle_java.jpg,10,functions,11,if
8,26,female,Italian,high,no,none,0,not at all,low,1,less than 1 hour / month,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
9,38,male,German,high,no,low,14,less than 1 hour / month,high,14,more than 1 hour / day,1,2,1,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
10,32,male,Portuguese,high,no,low,0,less than 1 hour / month,medium,5,more than 1 hour / day,1,2,1,0,rectangle_java.jpg,vehicle_java.jpg,10,functions,11,if
11,34,male,English,high,glasses,medium,5,less than 1 hour / month,high,16,more than 1 hour / day,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,3,constructor,4,constructor
12,44,female,German,high,no,none,0,not at all,low,4,less than 1 hour / week,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,11,if
13,28,female,Cantonese,high,contact lenses,low,0.5,not at all,medium,7,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,11,if
14,24,male,German,high,no,medium,3,less than 1 hour / day,medium,5,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,14,other,2,variable
15,32,male,English,high,no,medium,2,less than 1 hour / day,medium,2,less than 1 hour / day,1,2,0,0,rectangle_java.jpg,vehicle_java.jpg,2,constructor,4,constructor
16,28,male,Marathi,high,no,medium,1,more than 1 hour / day,high,5,less than 1 hour / day,1,2,1,1,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,3,variable
17,27,male,English,high,no,medium,1,less than 1 hour / day,medium,2,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,10,functions
18,22,female,English,high,glasses,medium,4,less than 1 hour / week,medium,4,less than 1 hour / week,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,14,other,11,if
19,20,female,English,high,no,medium,3,more than 1 hour / day,medium,3,more than 1 hour / day,1,2,1,1,rectangle_java.jpg,vehicle_java.jpg,9,functions,12,insideIf
20,19,male,Slovak,high,no,medium,1,more than 1 hour / day,medium,2,more than 1 hour / day,1,2,1,1,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,18,main
21,21,male,Slovak,medium,no,low,1.5,less than 1 hour / week,low,3,less than 1 hour / month,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,11,if
22,21,male,Slovak,medium,no,medium,2,less than 1 hour / day,medium,2,less than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,18,main
23,20,male,Italian,medium,glasses,low,2,not at all,medium,4,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
24,20,male,Slovak,medium,no,medium,2,not at all,medium,6,more than 1 hour / day,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
25,19,male,Slovak,low,no,medium,1,less than 1 hour / week,medium,3,less than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,13,instance,4,constructor
26,24,male,Slovak,high,no,high,4,less than 1 hour / month,high,7,more than 1 hour / day,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,19,instance
27,31,male,English,medium,glasses,low,2,less than 1 hour / week,low,2,less than 1 hour / day,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,15,instance,14,insideIf
28,25,male,Italian,medium,no,none,0,not at all,medium,5,less than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,3,variable
29,22,male,Spanish,medium,contact lenses,low,1,less than 1 hour / month,low,2,less than 1 hour / month,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,12,main,5,other
30,24,male,Hebrew,medium,no,none,0.5,less than 1 hour / week,none,0.5,not at all,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,12,insideIf
31,23,male,Slovak,high,no,low,1,not at all,medium,5,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,13,instance,11,if
32,25,male,Slovak,medium,glasses,medium,4,not at all,high,8,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,11,if
33,23,male,Slovak,high,no,medium,0.5,not at all,high,9,more than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,19,instance
34,26,male,Slovak,high,no,low,3,more than 1 hour / day,medium,10,more than 1 hour / day,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,11,if
35,20,male,Slovak,medium,contact lenses,low,1,less than 1 hour / day,low,3,less than 1 hour / month,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,11,if
36,20,female,English,high,no,none,0,not at all,none,0,not at all,1,2,0,0,rectangle_java.jpg,vehicle_java.jpg,15,instance,8,other
37,18,male,English,high,no,low,0,less than 1 hour / week,low,0,less than 1 hour / week,1,2,0,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,3,variable
38,19,male,Italian,high,glasses,none,0,not at all,none,0,not at all,1,2,0,1,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,4,constructor
39,68,female,Spanish,medium,glasses,low,1,not at all,low,5,less than 1 hour / day,2,1,0,1,rectangle_java.jpg,vehicle_java.jpg,12,main,2,variable
40,21,male,English,high,glasses,medium,2,less than 1 hour / day,medium,2,more than 1 hour / day,1,2,1,0,rectangle_java.jpg,vehicle_java.jpg,10,functions,4,constructor
41,22,male,Slovak,high,glasses,low,0,not at all,high,6,less than 1 hour / week,1,2,1,1,rectangle_java2.jpg,vehicle_java2.jpg,13,instance,3,variable
42,27,male,German,medium,glasses,medium,2,not at all,high,5,more than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,15,instance,11,if
43,26,male,Hebrew,high,no,low,1,less than 1 hour / month,low,2,less than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,11,if
44,21,male,Slovak,medium,no,low,0.5,less than 1 hour / week,medium,2,more than 1 hour / day,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,11,if
45,20,male,Finnish,high,no,medium,1,less than 1 hour / week,medium,1,less than 1 hour / day,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,15,instance,11,if
46,25,male,Slovak,medium,no,medium,5,less than 1 hour / week,medium,7,more than 1 hour / day,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,2,variable
48,38,male,English,high,no,high,15,less than 1 hour / month,high,15,less than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,11,if
50,22,male,Punjabi,high,glasses,medium,0,less than 1 hour / day,medium,0.5,not at all,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,3,constructor,4,constructor
51,38,male,Italian,medium,glasses,medium,5,less than 1 hour / week,medium,10,more than 1 hour / day,2,1,0,0,rectangle_java2.jpg,vehicle_java2.jpg,10,functions,11,if
53,19,male,Swedish,high,no,medium,3,less than 1 hour / month,medium,10,less than 1 hour / day,1,2,1,1,rectangle_java.jpg,vehicle_java.jpg,13,instance,4,constructor
54,22,male,English,medium,no,medium,4,less than 1 hour / day,medium,4,less than 1 hour / day,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,13,instance,12,insideIf
55,19,male,Slovak,high,no,medium,1,less than 1 hour / week,medium,7,less than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,10,functions
56,20,male,Slovak,high,glasses,low,0,not at all,high,3,more than 1 hour / day,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,10,functions
57,19,male,English,high,glasses,medium,4,less than 1 hour / day,medium,4,more than 1 hour / day,1,2,1,0,rectangle_java2.jpg,vehicle_java2.jpg,2,constructor,10,functions
58,21,male,English,high,no,medium,2,less than 1 hour / week,medium,2,less than 1 hour / day,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,11,if
59,26,female,Turkish,medium,no,none,0,not at all,medium,3,less than 1 hour / month,2,1,1,0,rectangle_java.jpg,vehicle_java.jpg,11,functions,11,if
60,20,male,Slovak,medium,no,low,0.5,less than 1 hour / week,medium,4,less than 1 hour / month,2,1,1,0,rectangle_java2.jpg,vehicle_java2.jpg,11,functions,11,if
61,21,male,Slovak,high,no,medium,2,less than 1 hour / day,medium,3,more than 1 hour / day,2,1,1,1,rectangle_java2.jpg,vehicle_java2.jpg,9,functions,11,if
