trial	x	y	L Validity	time
1	749.69	249.48	1	4
1	750.14	249.24	1	8
1	750.6	249.03	1	12
1	750.79	248.93	1	16
1	751.2	248.98	1	20
1	751.58	248.53	1	24
1	751.55	248.83	1	28
1	751.46	249.07	1	32
1	751.37	249.36	1	36
1	749.73	248.83	1	40
1	750.95	248.2	1	44
1	750.63	249.29	1	48
1	750.01	250.25	1	52
1	750.76	250.25	1	56
1	750.89	249.7	1	60
1	750.34	249.79	1	64
1	750.92	249.61	1	68
1	750.88	249.32	1	72
1	749.75	249.7	1	76
1	750.24	250.23	1	80
1	750.36	250.91	1	84
1	749.46	251.14	1	88
1	749.47	249.88	1	92
1	750.29	249.82	1	96
1	749.63	250.43	1	100
1	749.52	251.11	1	104
1	749.01	252.46	1	108
1	748.97	252.85	1	112
1	749.65	253.21	1	116
1	749.28	253.37	1	120
1	749.92	253.79	1	124
1	750.31	254.38	1	128
1	751.09	254.25	1	132
1	750.33	256.15	1	136
1	750.31	255.88	1	140
1	749.68	256.48	1	144
1	750.12	256.58	1	148
1	748.94	256.49	1	152
1	750.02	256.75	1	156
1	748.62	257.32	1	160
1	750.56	257.01	1	164
1	748.49	256.28	1	168
1	750.23	256.16	1	172
1	747.85	256.87	1	176
1	750.57	255.71	1	180
1	747.74	256.43	1	184
1	750.37	255.93	1	188
1	748.14	256.16	1	192
1	748.39	256.37	1	196
1	742.31	257.06	1	200
1	688.8	256.74	1	204
1	649.4	256.53	1	208
1	631.32	256.86	1	212
1	0	0	0	216
1	629.14	256.13	1	220
1	623.23	255.71	1	224
1	620.43	254.5	1	228
1	620.56	254.58	1	232
1	620.86	253.19	1	236
1	620.55	252.69	1	240
1	618.7	251.4	1	244
1	617	249.97	1	248
1	615.93	249.22	1	252
1	614.8	248.82	1	256
1	613.89	248.15	1	260
1	613.13	248.18	1	264
1	613.11	248.03	1	268
1	613.07	248.37	1	272
1	612.44	246.61	1	276
1	611.39	246.05	1	280
1	610.13	244.56	1	284
1	609.66	244.16	1	288
1	611.37	242.92	1	292
1	610.43	242.63	1	296
1	608.95	241.87	1	300
1	608.99	241.48	1	304
1	609.49	241.02	1	308
1	609.13	239.85	1	312
1	609.44	239.8	1	316
1	609.23	240.56	1	320
1	608.41	240.4	1	324
1	609.52	240.9	1	328
1	609.02	240.79	1	332
1	608.17	241.11	1	336
1	607.23	241.01	1	340
1	607.61	242.29	1	344
1	608	243.25	1	348
1	606.28	243.26	1	352
1	606.51	243.79	1	356
1	605.85	243.29	1	360
1	604.14	242.54	1	364
1	601.91	242	1	368
1	594.17	239.51	1	372
1	588.47	239.22	1	376
1	585.34	238.08	1	380
1	588.41	236.93	1	384
1	585.75	235.77	1	388
1	583.16	233.88	1	392
1	580.89	232.89	1	396
1	577.19	231.22	1	400
1	576.08	229.29	1	404
1	575.07	228.89	1	408
1	574.61	227.87	1	412
1	573.8	228.61	1	416
1	574.22	228.85	1	420
1	574.09	229.47	1	424
1	572.88	229.06	1	428
1	571.77	228.25	1	432
1	571.83	227.73	1	436
1	571.49	227.59	1	440
1	571.66	228.12	1	444
1	571.91	228.55	1	448
1	572.47	229.38	1	452
1	571.98	229.25	1	456
1	572.5	229.27	1	460
1	573.33	229.31	1	464
1	574.47	229.25	1	468
1	576.74	230.64	1	472
1	578.93	231.99	1	476
1	577.99	233.05	1	480
1	577.39	233.55	1	484
1	577.93	233.6	1	488
1	578.54	234.36	1	492
1	577.4	233.98	1	496
1	578.27	233.85	1	500
1	578.29	233.63	1	504
1	578.91	233.29	1	508
1	579.42	233.25	1	512
1	577.53	231.71	1	516
1	575.28	231.05	1	520
1	577.12	230.71	1	524
1	576.81	230.56	1	528
1	576.55	230.27	1	532
1	575.02	229.96	1	536
1	574.86	228.93	1	540
1	574.96	228.77	1	544
1	574.52	228.39	1	548
1	573.87	228.02	1	552
1	573.12	227.27	1	556
1	573.92	227.64	1	560
1	575.95	226.88	1	564
1	582.65	226.27	1	568
1	0	0	0	572
1	576.14	224.55	1	576
1	574.5	223.39	1	580
1	575.59	222.43	1	584
1	577.57	221.55	1	588
1	578.24	222.04	1	592
1	577.99	221.78	1	596
1	577.85	221.8	1	600
1	577.93	221.93	1	604
1	577.78	221.1	1	608
1	576.68	221.56	1	612
1	575.44	220.13	1	616
1	575.01	219.78	1	620
1	574.83	219.33	1	624
1	575.37	218.18	1	628
1	574.49	218.02	1	632
1	575.71	217.28	1	636
1	577.39	216.72	1	640
1	577.14	215.59	1	644
1	578.08	214.67	1	648
1	578.02	213.22	1	652
1	578.5	211.24	1	656
1	581.47	210.39	1	660
1	602.69	207.29	1	664
1	629.74	205.55	1	668
1	653.48	205.9	1	672
1	657.48	206.31	1	676
1	645.64	206.02	1	680
1	647.06	202.62	1	684
1	639.82	206.81	1	688
1	610.61	192.54	0	692
1	645.4	190.12	1	696
1	652.25	185.09	1	700
1	643.82	180.87	1	704
1	657.73	174.1	1	708
1	660.08	184.35	1	712
1	664.32	185.21	1	716
1	665	179.4	1	720
1	663	179.39	1	724
1	672.88	177.92	1	728
1	673.17	177.82	1	732
1	676.44	179.8	1	736
1	676.91	181.18	1	740
1	679.95	183.77	1	744
1	681.64	184.84	1	748
1	684.32	184.12	1	752
1	684.32	184.63	1	756
1	685.12	185.39	1	760
1	685.62	185.86	1	764
1	683.96	186.68	1	768
1	683.76	187.55	1	772
1	683.84	187.42	1	776
1	682.66	188.97	1	780
1	683.12	191.84	1	784
1	681.15	191.84	1	788
1	680.69	191.38	1	792
1	680.27	194.51	1	796
1	680.11	195.07	1	800
1	678.49	196.84	1	804
1	678.13	197.59	1	808
1	678.77	198.71	1	812
1	677.85	199.65	1	816
1	677.68	200.48	1	820
1	677.62	200.75	1	824
1	676.39	199.48	1	828
1	678.09	198.48	1	832
1	678.99	198.21	1	836
1	678.96	197.02	1	840
1	679.57	196.73	1	844
1	681.4	197.17	1	848
1	679.41	203.31	1	852
1	642.25	213.91	0	856
1	0	0	0	860
1	0	0	0	864
1	0	0	0	868
1	0	0	0	872
1	0	0	0	876
1	0	0	0	880
1	0	0	0	884
1	0	0	0	888
1	0	0	0	892
1	0	0	0	896
1	0	0	0	900
1	0	0	0	904
1	0	0	0	908
1	0	0	0	912
1	0	0	0	916
1	0	0	0	920
1	0	0	0	924
1	0	0	0	928
1	0	0	0	932
1	0	0	0	936
1	0	0	0	940
1	0	0	0	944
1	0	0	0	948
1	0	0	0	952
1	0	0	0	956
1	0	0	0	960
1	0	0	0	964
1	0	0	0	968
1	0	0	0	972
1	0	0	0	976
1	0	0	0	980
1	0	0	0	984
1	0	0	0	988
1	0	0	0	992
1	614.32	190.07	0	996
1	637.31	175.54	1	1000
1	635.91	163.29	1	1004
1	659.85	150.46	1	1008
1	0	0	0	1012
1	660.94	155.03	1	1016
1	658.38	158.74	1	1020
1	660.11	164.84	1	1024
1	657.16	163.65	1	1028
1	655.52	160	1	1032
1	653.12	157.43	1	1036
1	650.08	157.95	1	1040
1	652.36	157.65	1	1044
1	653.9	158.48	1	1048
1	655.08	159.56	1	1052
1	655.6	161.76	1	1056
1	655.49	163.53	1	1060
1	661.48	166.89	1	1064
1	663.06	166.93	1	1068
1	666.48	167.11	1	1072
1	666.34	167.54	1	1076
1	668.53	165.49	1	1080
1	674.22	163.49	1	1084
1	662.18	152.87	1	1088
1	659.99	146.82	1	1092
1	659.37	143.35	1	1096
1	654.63	147.16	1	1100
1	663.01	155.9	1	1104
1	668.09	153.17	1	1108
1	668.8	148.63	1	1112
1	668.77	143.68	1	1116
1	665.37	141.87	1	1120
1	662.8	139.68	1	1124
1	664.97	137.92	1	1128
1	664.74	136.63	1	1132
1	664.76	135.35	1	1136
1	665.41	131.68	1	1140
1	666.4	128.63	1	1144
1	665.18	126.25	1	1148
1	665.08	124.78	1	1152
1	664.68	122.77	1	1156
1	663.42	122.7	1	1160
1	663.09	120.03	1	1164
1	664.03	119.85	1	1168
1	662.84	118.12	1	1172
1	663.18	118.07	1	1176
1	663.05	118.4	1	1180
1	662.68	115.75	1	1184
1	664.54	115.69	1	1188
1	664.45	113.97	1	1192
1	665.08	113.63	1	1196
1	664.98	114.08	1	1200
1	664.81	112.43	1	1204
1	664.61	112.61	1	1208
1	665.79	112.71	1	1212
