trial	x	y	L Validity	time
1	765.89	287.14	1	4
1	765.71	286.06	1	8
1	765.65	285.55	1	12
1	765.47	284.53	1	16
1	765.62	284.1	1	20
1	766.42	282.3	1	24
1	766	281.91	1	28
1	766.18	281.2	1	32
1	766.48	281.32	1	36
1	766.77	281.67	1	40
1	767.68	282.99	1	44
1	768.64	283.61	1	48
1	769.47	285	1	52
1	771.06	285.68	1	56
1	771.61	285.94	1	60
1	772.73	287.34	1	64
1	773.21	288.95	1	68
1	774.7	290.34	1	72
1	775.4	290.96	1	76
1	776.36	290.89	1	80
1	776.62	291.92	1	84
1	776.2	291.76	1	88
1	775.73	291.49	1	92
1	775.17	291.09	1	96
1	774.13	291.36	1	100
1	773.33	292.16	1	104
1	772.35	292.15	1	108
1	772.35	291.9	1	112
1	771.77	290.52	1	116
1	771.34	290.33	1	120
1	771.08	291.14	1	124
1	770.75	291.01	1	128
1	771.16	290.2	1	132
1	771.96	290.43	1	136
1	772.31	289.92	1	140
1	772.36	289.34	1	144
1	772.28	288.65	1	148
1	772	288.12	1	152
1	770.53	287.56	1	156
1	769.77	287.3	1	160
1	769.73	288.77	1	164
1	769.79	287.74	1	168
1	769.06	288.22	1	172
1	768.14	288.74	1	176
1	766.61	288.81	1	180
1	765.53	288.73	1	184
1	765.39	288.71	1	188
1	765.38	287.59	1	192
1	765.94	287.93	1	196
1	767.04	287.73	1	200
1	767.67	288.6	1	204
1	768.86	288.32	1	208
1	769.17	288.63	1	212
1	769.27	287.94	1	216
1	770.07	287.03	1	220
1	771.37	286.31	1	224
1	771.96	285.97	1	228
1	771.86	284.88	1	232
1	772.01	285.82	1	236
1	771.81	286.81	1	240
1	771.41	286.47	1	244
1	771.44	272.37	1	248
1	772.19	230.67	1	252
1	772.8	199	1	256
1	773.06	190.12	1	260
1	774.17	179.18	1	264
1	775.27	172.96	1	268
1	776.84	171.65	1	272
1	778.17	170.11	1	276
1	779.44	169.19	1	280
1	780.62	167.12	1	284
1	781.66	164.7	1	288
1	782.4	162.2	1	292
1	781.6	159.41	1	296
1	781.27	157.12	1	300
1	781.13	155.57	1	304
1	781.2	153.9	1	308
1	780.8	153.51	1	312
1	780.35	152.64	1	316
1	780.11	151.61	1	320
1	779.55	150.27	1	324
1	779.53	149.22	1	328
1	778.77	148.58	1	332
1	778.7	148.16	1	336
1	779.22	148.14	1	340
1	779.32	147.93	1	344
1	780.26	148.51	1	348
1	780.81	149.01	1	352
1	781.62	149.1	1	356
1	781	148.54	1	360
1	780.76	148.11	1	364
1	781.63	148.05	1	368
1	780.13	147.81	1	372
1	777.97	145.65	1	376
1	772.35	141.37	1	380
1	758.58	131.65	1	384
1	749.91	123.79	1	388
1	742.38	123.81	1	392
1	744.93	122.97	1	396
1	744.8	120.45	1	400
1	740.83	118.33	1	404
1	737.96	116.06	1	408
1	735.59	114.78	1	412
1	734.36	113.59	1	416
1	732.35	112.48	1	420
1	730.34	112.85	1	424
1	731.06	113.54	1	428
1	730.55	114.66	1	432
1	729.89	114.21	1	436
1	729.02	113.6	1	440
1	727.63	112.87	1	444
1	727.17	111.58	1	448
1	726.38	110.85	1	452
1	725.94	110.01	1	456
1	725.56	109.29	1	460
1	725.69	108.82	1	464
1	726.39	108.82	1	468
1	726.53	108.31	1	472
1	726.9	108.39	1	476
1	728.25	108.64	1	480
1	729.02	108.29	1	484
1	730.45	108.12	1	488
1	730.29	108.78	1	492
1	730.89	109.51	1	496
1	731.68	109.27	1	500
1	732.31	109.36	1	504
1	732.71	109.69	1	508
1	732.43	109.64	1	512
1	733.05	110.12	1	516
1	733.36	109.99	1	520
1	733.21	110.61	1	524
1	733.32	111.51	1	528
1	732.57	112.62	1	532
1	733.07	113.81	1	536
1	733.14	113.13	1	540
1	732.64	114.69	1	544
1	732.51	115.03	1	548
1	731.65	115.81	1	552
1	731.41	116.17	1	556
1	729.98	116.42	1	560
1	727.68	115.63	1	564
1	724.34	113.4	1	568
1	721.3	111.27	1	572
1	717.86	109.91	1	576
1	715.94	106.53	1	580
1	712.85	104.58	1	584
1	711.86	102.35	1	588
1	708.75	100.66	1	592
1	706.94	98.97	1	596
1	705.93	97.41	1	600
1	705.51	95.93	1	604
1	704.83	95.47	1	608
1	704.98	95.58	1	612
1	704.92	96.03	1	616
1	706.06	96.65	1	620
1	705.91	97.85	1	624
1	706.67	99.94	1	628
1	707.12	100.58	1	632
1	708.25	101.23	1	636
1	708.85	102.62	1	640
1	708.62	103.54	1	644
1	708.77	104.65	1	648
1	709.18	105.26	1	652
1	708.62	105.1	1	656
1	709.11	105.78	1	660
1	709.48	106.1	1	664
1	709.83	106.01	1	668
1	709.95	105.65	1	672
1	710.75	105.75	1	676
1	710.15	106.12	1	680
1	710.34	106.14	1	684
1	710.81	105.81	1	688
1	710.64	105.3	1	692
1	710.9	105.45	1	696
1	711.36	105.71	1	700
1	710.81	105.34	1	704
1	709.99	105.28	1	708
1	710.29	106.27	1	712
1	709.81	106.63	1	716
1	709.59	107.05	1	720
1	710.32	107.44	1	724
1	709.74	107.18	1	728
1	709.15	107.63	1	732
1	709.51	108.71	1	736
1	709.06	108.75	1	740
1	708.45	108.79	1	744
1	708.27	109.26	1	748
1	708.92	109.28	1	752
1	708.04	109.26	1	756
1	708.13	109.09	1	760
1	707.27	109.47	1	764
1	707.42	109.01	1	768
1	707.8	108.99	1	772
1	708.27	109.53	1	776
1	708.41	109.83	1	780
1	711.58	110.22	1	784
1	721.47	110.06	1	788
1	765.24	109.7	1	792
1	768.56	108.73	1	796
1	770.85	106.57	1	800
1	768.66	106.55	1	804
1	769.04	105.33	1	808
1	776.74	105.14	1	812
1	779.75	104.53	1	816
1	778.85	103.56	1	820
1	781.22	102.74	1	824
1	782.91	101.53	1	828
1	784.37	100.94	1	832
1	782.82	100.79	1	836
1	782.91	101.59	1	840
1	783.04	103.11	1	844
1	782.91	103.89	1	848
1	784.68	104.5	1	852
1	785.24	104.77	1	856
1	784.14	105.23	1	860
1	785.78	106.3	1	864
1	786.37	106.09	1	868
1	785.78	105.87	1	872
1	785.24	106.11	1	876
1	786.08	106.23	1	880
1	786.6	106.25	1	884
1	785.9	105.52	1	888
1	786.82	105.36	1	892
1	787.37	104.86	1	896
1	786.1	105.27	1	900
1	785.87	105.36	1	904
1	786.42	105.41	1	908
1	786.53	105.24	1	912
1	786.33	104.79	1	916
1	787.03	104.71	1	920
1	787.18	104.07	1	924
1	785.93	102.73	1	928
1	786.83	103.59	1	932
1	787.27	102.93	1	936
1	785.81	103.08	1	940
1	785.54	102.84	1	944
1	786.67	102.95	1	948
1	785.95	102.52	1	952
1	785.12	102.53	1	956
1	784.84	103.14	1	960
1	784.15	103.4	1	964
1	783.16	102.66	1	968
1	784.4	103.64	1	972
1	784.67	103.68	1	976
1	783.44	103.31	1	980
1	783.85	103.31	1	984
1	784.95	103.47	1	988
1	784.31	103.05	1	992
1	784.07	103.24	1	996
1	784.73	103.15	1	1000
1	784.69	103.18	1	1004
1	784.8	103.54	1	1008
1	785.95	104.28	1	1012
1	785.83	104.3	1	1016
1	784.45	103.89	1	1020
1	784.6	104.36	1	1024
1	785.78	104.14	1	1028
1	784.83	103.8	1	1032
1	784.32	103.57	1	1036
1	784.87	102.92	1	1040
1	783.05	102.03	1	1044
1	776.25	101.27	1	1048
1	750.59	99.75	1	1052
1	719.96	98.18	1	1056
1	711.36	97.03	1	1060
1	707.38	96.75	1	1064
1	708.49	96.25	1	1068
1	712.34	96.06	1	1072
1	707.12	95.71	1	1076
1	704.09	95.67	1	1080
1	703.54	95.71	1	1084
1	702.08	96.03	1	1088
1	699.46	96.03	1	1092
1	698.52	96.08	1	1096
1	699.39	97.19	1	1100
1	699.74	97.25	1	1104
1	700.54	97.12	1	1108
1	700.2	96.91	1	1112
1	699.49	96.18	1	1116
1	699.01	94.84	1	1120
1	698.65	94.24	1	1124
1	698.24	93.95	1	1128
1	697.87	93.11	1	1132
1	698.06	92.88	1	1136
1	698.64	92.8	1	1140
1	697.53	91.85	1	1144
1	697.57	91.92	1	1148
1	697.92	92.8	1	1152
1	697.67	92.33	1	1156
1	697.48	92.85	1	1160
1	697.9	94.35	1	1164
1	698.43	95.1	1	1168
1	698.84	95.23	1	1172
1	699.23	95.55	1	1176
1	699.25	95.75	1	1180
1	699.24	96.22	1	1184
1	699.18	96.68	1	1188
1	699.08	97.02	1	1192
1	698.37	96.5	1	1196
1	698.37	96.9	1	1200
1	698.13	97.03	1	1204
1	698.8	96.25	1	1208
1	698.29	96.35	1	1212
1	698.55	96.49	1	1216
1	697.84	96.56	1	1220
1	698.33	96.18	1	1224
1	698.84	96.39	1	1228
1	699.03	95.09	1	1232
1	698.68	94.58	1	1236
1	698.52	94.85	1	1240
1	698.91	95.44	1	1244
1	699.47	98.48	1	1248
1	701.97	107.42	1	1252
1	721.71	169.21	1	1256
1	747.87	226.46	1	1260
1	769.11	292.43	1	1264
1	784.61	388.99	1	1268
1	796.78	464.2	1	1272
1	804.37	571.93	1	1276
1	814.75	646.93	1	1280
1	829.82	721.01	1	1284
1	837.64	728.45	1	1288
1	851	743.49	1	1292
1	849.52	753.2	1	1296
1	849.94	764.03	1	1300
1	855.09	770.77	1	1304
1	856.71	776.43	1	1308
1	860.85	780.02	1	1312
1	862.27	783.49	1	1316
1	862.57	785.36	1	1320
1	865.77	790.19	1	1324
1	867.12	791.59	1	1328
1	868.22	793.68	1	1332
1	866.89	795.57	1	1336
1	867.97	797.97	1	1340
1	870.19	798.6	1	1344
1	869.29	799.65	1	1348
1	869.94	800.4	1	1352
1	870.17	800.51	1	1356
1	869.81	801.46	1	1360
1	870.63	801.85	1	1364
1	870.06	800.77	1	1368
1	869.56	801.28	1	1372
1	869.27	801.09	1	1376
1	869.44	801.35	1	1380
1	869.5	801.26	1	1384
1	869.22	800.94	1	1388
1	868.81	802.53	1	1392
1	868.76	802.1	1	1396
1	867.63	802.52	1	1400
1	868.48	803.56	1	1404
1	868.94	803.99	1	1408
1	868.87	803.35	1	1412
1	868.45	803.83	1	1416
1	868.86	805.13	1	1420
1	868.54	804.86	1	1424
1	868.32	804.17	1	1428
1	867.11	805.02	1	1432
1	868.08	804.98	1	1436
1	868.07	805.79	1	1440
1	868.24	805.53	1	1444
1	867.75	805.04	1	1448
1	867.8	805.02	1	1452
1	868.58	807.01	1	1456
