trial	x	y	L Validity	time
1	721.45	276.95	1	4
1	722.41	278.46	1	8
1	722.3	281.34	1	12
1	721.18	280.69	1	16
1	720.1	279.82	1	20
1	721.75	281.83	1	24
1	722.21	281.21	1	28
1	721.02	282.89	1	32
1	720.34	283.47	1	36
1	718.79	283.49	1	40
1	719.87	283.01	1	44
1	721.56	282.23	1	48
1	722.36	280.61	1	52
1	722.5	278.22	1	56
1	722.8	278.5	1	60
1	724.33	278.71	1	64
1	723.9	280.71	1	68
1	719.13	281.23	1	72
1	702.74	283.65	1	76
1	644.37	283.87	1	80
1	616.13	285.39	1	84
1	609.7	286.26	1	88
1	622.03	285.84	1	92
1	620.88	287.12	1	96
1	618.45	287	1	100
1	615.17	285.31	1	104
1	616.03	282.88	1	108
1	613.93	282.51	1	112
1	611.43	281.24	1	116
1	608.5	280.34	1	120
1	607.49	279.98	1	124
1	606.73	278.35	1	128
1	605	276.32	1	132
1	604.55	276.22	1	136
1	604.56	276.2	1	140
1	603.66	275.42	1	144
1	603.05	277.67	1	148
1	601.38	279.97	1	152
1	600.08	278.27	1	156
1	598.97	277.01	1	160
1	599.11	276.75	1	164
1	599.46	277.84	1	168
1	601.05	279.2	1	172
1	601.42	277.89	1	176
1	601.21	276.12	1	180
1	599.81	275.97	1	184
1	599.02	276.25	1	188
1	598.09	273.17	1	192
1	598.87	269.42	1	196
1	599.86	268.35	1	200
1	599.97	270.31	1	204
1	599.09	271.07	1	208
1	599.05	270	1	212
1	598.48	267.79	1	216
1	599.74	267.64	1	220
1	600.68	268.76	1	224
1	600.61	270.65	1	228
1	600.33	266.63	1	232
1	599.81	269.71	1	236
1	599.07	272.66	1	240
1	598.21	273.95	1	244
1	598.28	271.75	1	248
1	600.08	268.89	1	252
1	598.9	268.03	1	256
1	597.99	266.6	1	260
1	597.22	266.01	1	264
1	600.16	264.78	1	268
1	612.25	262.62	1	272
1	623.32	233.89	1	276
1	624.76	203.04	1	280
1	617.99	185.09	1	284
1	623.39	178.64	1	288
1	627.18	180.78	1	292
1	636.2	182.31	1	296
1	637.75	175.95	1	300
1	639.9	169.31	1	304
1	641.59	169.98	1	308
1	642.64	167.04	1	312
1	642.27	165.75	1	316
1	640.96	162.49	1	320
1	640.85	160.75	1	324
1	641.36	158.37	1	328
1	640.8	158.04	1	332
1	640.45	156.01	1	336
1	638.3	152.48	1	340
1	636.45	150.96	1	344
1	635.49	151.03	1	348
1	634.98	150.31	1	352
1	635.4	149.99	1	356
1	634.69	149.56	1	360
1	632.73	149.51	1	364
1	631.83	149.52	1	368
1	631.72	150.04	1	372
1	632.07	150.8	1	376
1	632.25	150.49	1	380
1	632.68	152.94	1	384
1	633.21	154.13	1	388
1	634.69	155.5	1	392
1	636.05	157.6	1	396
1	635.66	156.71	1	400
1	636.38	156.94	1	404
1	637.47	157.46	1	408
1	639.18	158.6	1	412
1	639.38	158.72	1	416
1	635	159.15	1	420
1	621.96	158.85	1	424
1	600.98	154.14	1	428
1	595.72	147.66	1	432
1	593.45	145.16	1	436
1	594.73	147.08	1	440
1	588.55	147.81	1	444
1	585.43	144.97	1	448
1	582.72	139.23	1	452
1	578.97	137.32	1	456
1	578.18	137.32	1	460
1	576.79	135.7	1	464
1	576.42	134.6	1	468
1	577.39	135.93	1	472
1	578.03	137.29	1	476
1	578.38	138.51	1	480
1	577.72	136.92	1	484
1	577.95	134.32	1	488
1	577.16	131.7	1	492
1	576.41	134.38	1	496
1	577.17	133.81	1	500
1	577.25	134	1	504
1	576.97	133.73	1	508
1	576.51	132.4	1	512
1	576.18	131.39	1	516
1	575.28	129.98	1	520
1	574.46	129.3	1	524
1	573.87	129.02	1	528
1	572.77	129.18	1	532
1	572.98	131.67	1	536
1	573.02	132.18	1	540
1	572.33	133.77	1	544
1	571.95	134.6	1	548
1	572.28	134.18	1	552
1	572.47	135.36	1	556
1	573.35	135.47	1	560
1	575.08	136.18	1	564
1	576.66	136.89	1	568
1	577	136.2	1	572
1	577.55	135.3	1	576
1	577.1	133.93	1	580
1	577.04	132.07	1	584
1	577.05	130.73	1	588
1	576.17	129.16	1	592
1	575.68	128.63	1	596
1	575.89	128.3	1	600
1	576.11	127.47	1	604
1	575.87	127.34	1	608
1	576.53	127.34	1	612
1	576.4	128.02	1	616
1	576.23	127.98	1	620
1	577.21	128.55	1	624
1	581.04	128.92	1	628
1	596.1	129.1	1	632
1	639.46	129.93	1	636
1	653.6	130.43	1	640
1	648.09	130.72	1	644
1	655.08	132.11	1	648
1	659.12	133.01	1	652
1	662.31	133.41	1	656
1	662.85	134.04	1	660
1	665.64	135.7	1	664
1	667.79	136.1	1	668
1	669.75	136.7	1	672
1	672.65	137.31	1	676
1	672.57	137.13	1	680
1	672.97	138.12	1	684
1	673.98	138.09	1	688
1	674.61	136.12	1	692
1	674.7	133.52	1	696
