trial	x	y	L Validity	time
1	639.94	291.21	1	4
1	642.38	289.12	1	8
1	641.61	287.45	1	12
1	641.6	285.58	1	16
1	641.91	283.05	1	20
1	638.47	286.45	1	24
1	643.81	281.01	1	28
1	639.59	280.94	1	32
1	634.95	282.07	1	36
1	630.98	279.39	1	40
1	626.4	277.71	1	44
1	628.47	277.81	1	48
1	629.95	273.51	1	52
1	625.17	276.08	1	56
1	627.96	278.06	1	60
1	627.25	278.24	1	64
1	625.14	278.91	1	68
1	624.89	282.3	1	72
1	623.54	294.21	1	76
1	623.4	296.17	1	80
1	627.77	283.2	1	84
1	632.86	284.01	1	88
1	636.73	284.92	1	92
1	641.05	288.43	1	96
1	642.61	288.68	1	100
1	644.04	286.54	1	104
1	645.35	285.6	1	108
1	645.44	285.1	1	112
1	644.98	284.13	1	116
1	644.92	282.66	1	120
1	648.21	281.44	1	124
1	639.43	282.38	1	128
1	632.42	281.84	1	132
1	622.9	283.03	1	136
1	632	283.13	1	140
1	626.13	284.9	1	144
1	627.12	285.79	1	148
1	626.85	288.16	1	152
1	629.8	293.09	1	156
1	626.51	295.85	1	160
1	637.97	296.31	1	164
1	639.93	295.56	1	168
1	642.92	294.7	1	172
1	642.37	295.44	1	176
1	644.95	294.79	1	180
1	651.27	293.89	1	184
1	650.19	287.08	1	188
1	662.98	283.99	1	192
1	692.55	268.78	1	196
1	706.94	225.02	1	200
1	716.15	242.85	1	204
1	712.67	241.05	1	208
1	715.95	236.96	1	212
1	719.59	233.69	1	216
1	719.97	225.36	1	220
1	724.74	229.7	1	224
1	722.47	223.86	1	228
1	724.66	219.44	1	232
1	729.38	216.84	1	236
1	730.15	215.36	1	240
1	731.77	215.76	1	244
1	731.87	214.89	1	248
1	732.8	215.19	1	252
1	733.36	216.44	1	256
1	735.16	219.1	1	260
1	737.36	222.54	1	264
1	738.63	218.93	1	268
1	741.02	217.92	1	272
1	742.69	218.23	1	276
1	741.58	220.43	1	280
1	743.26	222.88	1	284
1	741.6	222.5	1	288
