trial	x	y	L Validity	time
1	730.99	339.37	1	4
1	731.44	336.01	1	8
1	736.2	337.82	1	12
1	739.86	343.18	1	16
1	741.32	347.1	1	20
1	742.92	343.12	1	24
1	743.69	342.52	1	28
1	744.97	340.38	1	32
1	746.15	339.38	1	36
1	746.37	338.96	1	40
1	747.11	340.26	1	44
1	748.25	341.61	1	48
1	749.94	343.54	1	52
1	750.98	344.36	1	56
1	751.05	345.09	1	60
1	751.17	344.44	1	64
1	751.32	344.43	1	68
1	751.52	344.37	1	72
1	751.76	344.14	1	76
1	751.37	343.5	1	80
1	751.12	341.83	1	84
1	751.04	341.15	1	88
1	749.36	339.67	1	92
1	747.92	337.97	1	96
1	746.76	336.96	1	100
1	746.07	335.64	1	104
1	745.77	334.78	1	108
1	745.75	334.59	1	112
1	745.57	335.55	1	116
1	745.63	336.55	1	120
1	745.69	337.53	1	124
1	746.43	339.39	1	128
1	746.05	340.92	1	132
1	746.86	343.21	1	136
1	746.99	344.57	1	140
1	747.29	345.74	1	144
1	747.57	346.32	1	148
1	747.96	346.38	1	152
1	748.22	346.56	1	156
1	748.47	344.72	1	160
1	748.39	344.53	1	164
1	748.72	343.36	1	168
1	749.01	342.97	1	172
1	749.25	341.93	1	176
1	749.52	340.19	1	180
1	750.47	339.11	1	184
1	749.51	337.85	1	188
1	749.74	336.55	1	192
1	749.51	336.78	1	196
1	749.25	337.14	1	200
1	749.37	337.59	1	204
1	747.78	338.19	1	208
1	749.1	338.39	1	212
1	749.09	339.12	1	216
1	748.08	340.05	1	220
1	748.11	341.24	1	224
1	746.87	342.47	1	228
1	748.02	343.73	1	232
1	747.87	345.42	1	236
1	749.22	345.57	1	240
1	747.59	346.58	1	244
1	747.79	347.6	1	248
1	748.49	347.56	1	252
1	748.36	346.87	1	256
1	748.18	346.02	1	260
1	748.09	345.1	1	264
1	749.11	343.71	1	268
1	749.8	343.64	1	272
1	750.25	343.39	1	276
1	749.64	342.77	1	280
1	749.11	343.55	1	284
1	750.25	344.69	1	288
1	750.59	344.31	1	292
1	750.34	344.4	1	296
1	750.52	342.32	1	300
1	743.1	331.87	1	304
1	738.51	311.83	1	308
1	712.14	278.39	1	312
1	691.85	257.83	1	316
1	678.57	254.37	1	320
1	664.85	244.96	1	324
1	657.55	228.67	1	328
1	653.57	238.53	1	332
1	650.88	237.45	1	336
1	651.79	233.53	1	340
1	651.08	229.45	1	344
1	647.92	226.96	1	348
1	646.72	227.26	1	352
1	643.98	226.04	1	356
1	642	223.6	1	360
1	640.98	221.83	1	364
1	641.24	222.61	1	368
1	641.74	223.5	1	372
1	641.73	221.27	1	376
1	642.07	220.17	1	380
1	642.49	221.53	1	384
1	641.99	220.71	1	388
1	640.79	220.79	1	392
1	640.38	219.68	1	396
1	642.09	220.95	1	400
1	641.9	222.18	1	404
1	641.25	221.29	1	408
1	641.54	220.63	1	412
1	641.95	220.72	1	416
1	643.18	223.51	1	420
1	643.56	224.23	1	424
1	644.2	223.27	1	428
1	643.36	223.81	1	432
1	643.45	225.28	1	436
1	644.2	225.22	1	440
1	643.29	223.82	1	444
1	643.75	222.21	1	448
1	644.59	220.54	1	452
1	645.54	222.32	1	456
1	645.87	221.79	1	460
1	645.44	220.74	1	464
1	645.38	219.84	1	468
1	645.11	216.98	1	472
1	644.62	220.41	1	476
1	644.55	220.86	1	480
1	644.23	219.43	1	484
1	644.64	219.2	1	488
1	645.46	217.55	1	492
1	647.42	216.41	1	496
1	648.59	215.1	1	500
1	650.78	214.62	1	504
1	658.72	212.8	1	508
1	664.13	212.72	1	512
1	666.61	212.83	1	516
1	666.46	210.34	1	520
1	672.67	209.03	1	524
1	675.58	207.98	1	528
1	677.18	207.04	1	532
1	680.79	206.56	1	536
1	681.29	205.9	1	540
1	683.9	204.74	1	544
1	685.47	204.76	1	548
1	685.52	204.05	1	552
1	685.05	201.31	1	556
1	684.8	200.9	1	560
1	686.39	199.75	1	564
1	686.74	199.13	1	568
1	687.09	198.08	1	572
1	686.7	197.37	1	576
1	686.92	196.71	1	580
1	686.91	196.33	1	584
1	686.57	196.25	1	588
1	686.2	196.26	1	592
1	685.12	196.09	1	596
1	683.88	196.5	1	600
1	682.23	196.14	1	604
1	681.39	196.33	1	608
1	682.15	196.66	1	612
1	682.25	197.33	1	616
1	681.15	196.68	1	620
1	680.14	198.98	1	624
1	681.25	198.93	1	628
1	679.74	199.45	1	632
1	680.28	199.69	1	636
1	679.63	198.74	1	640
1	682.22	198.61	1	644
1	680.32	197.53	1	648
1	682.88	195.91	1	652
1	683.44	194.75	1	656
1	685.13	193.48	1	660
1	690.81	191.58	1	664
1	703.6	185.13	1	668
1	706.74	187.43	1	672
1	713.1	186.33	1	676
1	718.47	185.39	1	680
1	722.64	185.04	1	684
1	726.03	184.38	1	688
1	728.08	184.53	1	692
1	731.48	183.4	1	696
1	733.7	183.87	1	700
1	735.87	183.83	1	704
1	736.86	182.55	1	708
1	736.82	182.29	1	712
1	735.8	183.58	1	716
1	737.37	182.72	1	720
1	736.38	182.84	1	724
1	735.95	183.16	1	728
1	735.35	185.93	1	732
1	735.33	183.57	1	736
1	733.47	187.41	1	740
1	734.97	184.39	1	744
1	733.01	186.88	1	748
1	734.15	185.34	1	752
1	734.49	185.26	1	756
1	735.31	187.51	1	760
1	734.71	184.36	1	764
1	735.07	184.17	1	768
1	735.39	186.86	1	772
1	734.3	182.02	1	776
1	735.69	181.74	1	780
1	736.07	181.53	1	784
1	734.62	182.69	1	788
1	735.64	180.31	1	792
1	734.81	179.97	1	796
1	735.45	179.86	1	800
1	734.19	178.53	1	804
1	733.9	182.28	1	808
1	736.07	180.61	1	812
1	735.32	178.75	1	816
1	736.19	179.09	1	820
1	734.59	179.09	1	824
1	735.53	180.29	1	828
1	735.77	178.58	1	832
1	736.81	179.47	1	836
1	735.62	178.26	1	840
1	736.03	179.53	1	844
1	736.58	179.42	1	848
1	736.99	178.36	1	852
1	0	0	0	856
1	735.71	178.16	1	860
1	737.2	179.74	1	864
1	736.58	179.89	1	868
1	738.1	180.12	1	872
1	737.43	178.1	1	876
1	737.95	177.71	1	880
1	737.17	177.53	1	884
1	736.98	178.06	1	888
1	737.21	176.85	1	892
1	737.11	177.3	1	896
1	736.57	177.25	1	900
1	737.94	177.37	1	904
1	737.12	177	1	908
1	737.09	175.62	1	912
1	737.55	174.44	1	916
1	737.1	175.5	1	920
1	738.32	175.91	1	924
1	737.94	176.01	1	928
1	739.08	174.56	1	932
1	739.11	174.68	1	936
1	738.48	174.59	1	940
1	738.25	174.6	1	944
1	737.17	175.13	1	948
1	736.34	174.53	1	952
1	737.32	174.34	1	956
1	736.41	175.23	1	960
1	737.26	175.1	1	964
1	736.06	175.8	1	968
1	736.52	175.31	1	972
1	735.24	176.03	1	976
1	736.1	176.15	1	980
1	736.73	176.19	1	984
1	736.63	176.34	1	988
1	737.65	176.22	1	992
1	738.67	176.46	1	996
1	737.97	177.3	1	1000
1	738.89	175.39	1	1004
1	738.58	175.26	1	1008
1	727.92	198.01	1	1012
1	730	198.44	1	1016
1	0	0	0	1020
1	739.15	174.06	1	1024
1	738.81	176.35	1	1028
1	739.83	173.54	1	1032
1	739.45	173.34	1	1036
1	739.28	172.59	1	1040
1	739.28	172.72	1	1044
1	738.33	174.11	1	1048
1	732.94	181.7	1	1052
1	724.02	216.19	1	1056
1	702.17	244.95	1	1060
1	685.77	247.97	1	1064
1	662.97	258.85	1	1068
1	655.88	262.83	1	1072
1	654.84	243.62	1	1076
1	655.45	242.14	1	1080
1	655.51	259.46	1	1084
1	655.35	264.53	1	1088
1	652.65	267.23	1	1092
1	652.2	267.71	1	1096
1	649.7	268.99	1	1100
1	649.14	256.99	1	1104
1	649.85	254.49	1	1108
1	649.85	268.22	1	1112
1	650.38	269.38	1	1116
1	652.93	269.16	1	1120
1	653.64	255.94	1	1124
1	652.84	264.25	1	1128
1	653.28	268.08	1	1132
1	653.11	268.48	1	1136
1	653.17	268.13	1	1140
1	653.71	255.38	1	1144
1	653.72	263.93	1	1148
1	654.21	257.11	1	1152
1	653.51	267.34	1	1156
1	656.18	266.63	1	1160
1	654.4	266.98	1	1164
1	655.22	260.16	1	1168
1	655.27	267.02	1	1172
1	655.12	269.07	1	1176
1	655.97	270.27	1	1180
1	655.88	268.09	1	1184
1	655.63	266.42	1	1188
1	655.82	261.69	1	1192
1	655.71	271.5	1	1196
1	656.34	270.34	1	1200
1	656.2	267.6	1	1204
1	657.97	255.85	1	1208
1	658.62	268.44	1	1212
1	659.39	272.3	1	1216
1	660.43	269.94	1	1220
1	660.19	257.81	1	1224
1	659.98	262.03	1	1228
1	662.99	264.76	1	1232
1	668.65	262.33	1	1236
1	680.46	259.34	1	1240
1	685.9	248.04	1	1244
1	692.92	243.4	1	1248
1	694.87	241.56	1	1252
1	699.18	251.74	1	1256
1	704.18	250.62	1	1260
1	708.24	249.69	1	1264
1	710.52	246.6	1	1268
1	712.34	237.64	1	1272
1	714.25	232.85	1	1276
1	715.39	241.04	1	1280
1	715.27	241.15	1	1284
1	715.63	243.25	1	1288
1	715.07	242.49	1	1292
1	714.73	243.71	1	1296
1	715.48	244.29	1	1300
1	715.48	243.06	1	1304
1	715.56	240.86	1	1308
1	715.07	241.45	1	1312
1	714.72	242.06	1	1316
1	714.88	238.76	1	1320
1	714.68	234.23	1	1324
1	714.65	231.3	1	1328
1	714.15	239.52	1	1332
1	713.52	239.92	1	1336
1	714.59	241.39	1	1340
1	714.55	238.67	1	1344
1	714.02	236.98	1	1348
1	713.91	230.4	1	1352
1	713.65	226.26	1	1356
1	713.02	235.9	1	1360
1	713.01	237.9	1	1364
1	712.83	240.81	1	1368
1	712.78	243.16	1	1372
1	712.81	242.26	1	1376
1	713.83	239.64	1	1380
1	713.19	238.69	1	1384
1	712.65	232.79	1	1388
1	712.59	240.54	1	1392
1	712.35	242.82	1	1396
1	712.19	245.4	1	1400
1	713.11	245.48	1	1404
1	713.31	244.08	1	1408
1	713.36	238.3	1	1412
1	713.92	240.38	1	1416
1	714.29	234.48	1	1420
1	713.6	233.64	1	1424
1	713.36	236.25	1	1428
1	711.85	261.04	1	1432
1	707.57	330.45	1	1436
1	701.96	375.62	1	1440
1	695.1	428.95	1	1444
1	695.9	454.05	1	1448
1	694.22	467.57	1	1452
1	694.28	469.24	1	1456
1	692.36	470.55	1	1460
1	689.13	470.37	1	1464
1	689.07	470.3	1	1468
1	687.08	471.87	1	1472
1	686.64	473.72	1	1476
1	687.31	475.31	1	1480
1	688	476.89	1	1484
1	689.03	478.68	1	1488
1	688.68	479.75	1	1492
1	690.42	479.57	1	1496
1	688.76	481.09	1	1500
1	689.3	481.2	1	1504
1	688.97	481.61	1	1508
1	688.83	482.53	1	1512
1	688.95	483.13	1	1516
1	689.33	483.4	1	1520
1	689.22	483.62	1	1524
1	689.38	483.31	1	1528
1	689.34	484.11	1	1532
1	689.69	484.89	1	1536
1	688.31	485.32	1	1540
1	689.06	486.15	1	1544
1	688.98	486.96	1	1548
1	689.51	487.61	1	1552
1	689.52	488.41	1	1556
1	689.22	488.85	1	1560
1	689.65	489.94	1	1564
1	689.47	490.01	1	1568
1	688.93	490.59	1	1572
1	687.97	490.72	1	1576
1	687.97	490.68	1	1580
1	689.16	491.02	1	1584
1	688.91	490.56	1	1588
1	689.03	490.48	1	1592
1	688.98	490.47	1	1596
1	689.22	490.42	1	1600
1	689.47	490.11	1	1604
1	689.31	489.76	1	1608
1	689.19	490.14	1	1612
1	689.91	490.27	1	1616
1	690.76	490.13	1	1620
1	691.22	490.03	1	1624
1	690.82	490.27	1	1628
1	691.46	490.56	1	1632
1	691.43	491.12	1	1636
1	692.44	492.61	1	1640
1	694.6	495.38	1	1644
1	699.76	499.19	1	1648
1	706.45	502.68	1	1652
1	708.17	505.64	1	1656
1	712.07	508.39	1	1660
1	712.21	510.58	1	1664
1	715.32	511.61	1	1668
1	717.63	513.51	1	1672
1	720.49	515.11	1	1676
1	722.69	516.42	1	1680
1	725.12	517.73	1	1684
1	726.74	518.58	1	1688
1	727.72	518.94	1	1692
1	728.03	519.69	1	1696
1	729	520.46	1	1700
1	730.1	520.84	1	1704
1	731.65	521.44	1	1708
1	732.55	521.97	1	1712
1	733.9	523	1	1716
1	734.4	524.03	1	1720
1	735.35	524.53	1	1724
1	736.28	524.42	1	1728
1	736.99	524.14	1	1732
1	737.38	524.07	1	1736
1	737.51	523.74	1	1740
1	737.49	523.08	1	1744
1	737.12	523.38	1	1748
1	736.38	523.25	1	1752
1	736.27	523.74	1	1756
1	735.06	524.08	1	1760
1	734.26	524.41	1	1764
1	732.77	525.39	1	1768
1	731.32	526.39	1	1772
1	729.99	527.36	1	1776
1	728.99	527.48	1	1780
1	727.99	527.62	1	1784
1	727.17	527.53	1	1788
1	726.88	527.32	1	1792
1	727.77	527.14	1	1796
1	733.18	527.76	1	1800
1	746.42	529.02	1	1804
1	760.9	530.22	1	1808
1	766.53	531.1	1	1812
1	772.18	531.61	1	1816
1	779.18	531.85	1	1820
1	779.47	533.66	1	1824
1	782.57	534.52	1	1828
1	784.75	536.27	1	1832
1	785.22	537.87	1	1836
1	787.76	539.39	1	1840
