trial	x	y	L Validity	time
1	0	0	0	4
1	619.12	196.24	1	8
1	666.1	265.84	0	12
1	667.84	276.98	0	16
1	673.54	265.62	0	20
1	458.24	350.97	1	24
1	669.93	257.19	0	28
1	674.7	251.4	0	32
1	676.11	264.02	0	36
1	679.07	260.39	0	40
1	675.62	253.86	0	44
1	796.63	182.44	1	48
1	679.02	258.89	0	52
1	680.52	256.79	0	56
1	683.16	261.47	0	60
1	795.08	186.3	1	64
1	681.05	261.72	0	68
1	780.04	194.26	1	72
1	681.91	268.79	0	76
1	789.83	204.27	1	80
1	681	269.22	0	84
1	767.35	205.65	1	88
1	714.74	216.89	1	92
1	535.25	372.44	1	96
1	531.19	365.75	1	100
1	539.93	372.36	1	104
1	534.51	367.93	1	108
1	776.52	240.48	1	112
1	538.05	374.59	1	116
1	537.49	372.41	1	120
1	534.55	370.54	1	124
1	540.03	374.47	1	128
1	722.28	248.03	1	132
1	675.96	310.06	0	136
1	722.07	257.24	1	140
1	534.8	376.88	1	144
1	542.7	381.14	1	148
1	548.43	384.07	1	152
1	730.91	267.9	1	156
1	547.61	381.78	1	160
1	727.94	261.26	1	164
1	552.96	386.91	1	168
1	551.71	388.01	1	172
1	551.32	390.27	1	176
1	700.77	331.64	1	180
1	729.22	261.07	1	184
1	555.89	390.06	1	188
1	557.18	388.98	1	192
1	727.32	266.91	1	196
1	560.46	393.73	1	200
1	561.65	394.94	1	204
1	563.7	397.58	1	208
1	562.9	401.33	1	212
1	565.68	403.04	1	216
1	569.93	403.85	1	220
1	568.05	402.12	1	224
1	568.07	402.33	1	228
1	568.29	388.82	1	232
1	566.48	327.07	1	236
1	571.88	288.05	1	240
1	565.69	257.5	1	244
1	575.08	245.13	1	248
1	573.62	233.5	1	252
1	566.78	227.93	1	256
1	572.66	230.35	1	260
1	573.51	234.54	1	264
1	572.91	233.62	1	268
1	570.82	229.48	1	272
1	570.49	227.19	1	276
1	570.48	223.56	1	280
1	569.36	222.48	1	284
1	570.79	222.44	1	288
1	570.33	222.71	1	292
1	568.47	223.19	1	296
1	569.24	223.05	1	300
1	568.11	222.43	1	304
1	568.03	220.97	1	308
1	566.48	222.31	1	312
1	567.39	222.95	1	316
1	566.64	226.6	1	320
1	568.01	226.06	1	324
1	568.91	227.78	1	328
1	567.19	229.83	1	332
1	566.92	231.49	1	336
1	566.75	233.74	1	340
1	566	233.86	1	344
1	566.12	237.7	1	348
1	564.79	239.36	1	352
1	566.19	239.77	1	356
1	566.58	240.92	1	360
1	567.25	240.68	1	364
1	567.53	242.17	1	368
1	568.15	241.89	1	372
1	568.99	240.99	1	376
1	571.03	241.8	1	380
1	571.19	241.58	1	384
1	570.89	242.16	1	388
1	572.3	242.76	1	392
1	573.08	243.7	1	396
1	574.25	245.56	1	400
1	574.25	246.57	1	404
1	574.36	247.18	1	408
1	573.58	246.79	1	412
1	573.86	248.27	1	416
1	572.95	249.6	1	420
1	572.02	249.43	1	424
1	571.85	250.3	1	428
1	572.91	249.41	1	432
1	572.5	249.86	1	436
1	572.68	249.72	1	440
1	573.17	249.68	1	444
1	568.06	246.78	1	448
1	553.61	246.29	1	452
1	535.5	242.08	1	456
1	539.84	243.22	1	460
1	528.14	242.85	1	464
1	521.61	240.49	1	468
