trial	x	y	L Validity	time
1	581.97	110.07	0	4
1	587.48	101.72	0	8
1	583.15	93.21	0	12
1	610.77	118.48	1	16
1	625.89	69.01	1	20
1	610.34	92.83	1	24
1	617.97	48.52	1	28
1	610.47	58.1	1	32
1	610.91	48.74	1	36
1	603.66	103.73	1	40
1	605.22	94.14	1	44
1	598.67	103.51	1	48
1	605.52	109.28	1	52
1	604.01	105.53	1	56
1	615.51	124.7	1	60
1	606.81	160.66	1	64
1	579.08	71.77	0	68
1	612.92	172.34	1	72
1	578.25	106.05	0	76
1	578	114.09	0	80
1	573.68	97.92	0	84
1	574.09	110.34	0	88
1	570.05	115.26	0	92
1	566.59	113.72	0	96
1	599.13	208.73	1	100
1	601.11	207.51	1	104
1	688.97	129.98	1	108
1	609.18	89.01	0	112
1	615.26	71.28	0	116
1	629.82	64.2	0	120
1	636.71	66.33	0	124
1	639.54	83.87	0	128
1	653.6	78.11	0	132
1	651.39	74.44	0	136
1	645.63	77.56	0	140
1	654.91	77.54	0	144
1	656.22	85.8	0	148
1	687.07	186.9	1	152
1	661.19	148.29	1	156
1	667.95	161.05	1	160
1	676.62	140.38	1	164
1	664.55	120.05	1	168
1	672.93	109.25	1	172
1	666.48	121.35	1	176
1	664.01	110.7	1	180
1	661.62	101.09	1	184
1	669.31	126.95	1	188
1	657.77	93.53	0	192
1	663.6	112.48	0	196
1	655.8	77.49	0	200
1	674.35	82.96	1	204
1	655.6	79.98	0	208
1	657.46	92.72	0	212
1	657.93	84.16	0	216
1	656.72	90.36	0	220
1	658.89	104.16	0	224
1	663.37	100.58	0	228
1	663.89	87.07	0	232
1	660.8	99.05	0	236
1	673.93	133.71	1	240
1	660.06	101.63	0	244
1	673.56	130.13	1	248
1	665.84	92.03	0	252
1	674.56	132.33	1	256
1	665.39	86.52	0	260
1	663.25	104.3	0	264
1	664.51	91.69	0	268
1	670.59	97.25	0	272
1	646.13	112.12	1	276
1	668.17	89.8	0	280
1	666.16	92.2	0	284
1	664.31	98.63	0	288
1	667.55	101.54	0	292
1	659.68	112.97	0	296
1	661.86	115.75	0	300
1	658.22	147.72	0	304
1	657.21	122.97	0	308
1	657.35	153.39	0	312
1	653.85	139.78	0	316
1	654.14	138.82	0	320
1	666.81	138.51	1	324
1	658.06	154.54	1	328
1	652.56	147.4	0	332
1	677.49	142.66	1	336
1	654.13	140.98	0	340
1	654.48	145.83	0	344
1	664.22	164.3	1	348
1	654.08	144.13	0	352
1	651.86	147.02	0	356
1	646.72	148.78	0	360
1	632.22	153.77	0	364
1	614.18	153.16	0	368
1	604.96	163.23	0	372
1	600.31	162.57	0	376
1	595.12	164.07	0	380
1	596.52	163.91	0	384
1	592.27	163.41	0	388
1	583.32	162.18	0	392
1	578.55	163.51	0	396
1	580.95	161.96	0	400
1	578.96	161.47	0	404
1	581.85	158.56	0	408
1	581.96	159.74	0	412
1	584.13	160.86	0	416
1	585.63	160.07	0	420
1	586.28	161.9	0	424
1	582.95	163.72	0	428
1	580.45	170.98	0	432
1	633.89	189.38	1	436
1	572.92	173.27	0	440
1	564.07	182.52	0	444
1	565.98	196.89	0	448
1	561.36	195.11	0	452
1	559.16	199.02	0	456
1	551.75	200.7	0	460
1	553.84	201.93	0	464
1	553.43	199.51	0	468
1	550.88	200.08	0	472
1	551.08	191.87	0	476
1	550.32	184.99	0	480
1	550.25	182.04	0	484
1	593.03	178.58	1	488
1	549.48	142.16	0	492
1	609.41	78.25	1	496
1	559.09	66.93	0	500
1	564.61	72.33	0	504
1	564.57	92.03	0	508
1	565.18	107.97	0	512
1	564.63	112.73	0	516
1	566.27	86.21	0	520
1	569.56	75.15	0	524
1	570.54	92.14	0	528
1	598.72	139.63	1	532
1	600.07	130.23	1	536
1	594.44	127.89	1	540
1	570.83	110.9	0	544
1	569.04	127.65	0	548
1	573.52	133.84	0	552
1	568.77	121	0	556
1	576.37	112.19	0	560
1	581.2	113.04	0	564
1	599.05	112.03	1	568
1	583.83	121.06	1	572
1	572.62	123.9	1	576
1	577.44	108.75	0	580
1	588.79	86.14	1	584
1	585.41	113.01	0	588
1	588.49	115.15	0	592
1	587.45	123.47	0	596
1	584.21	132.94	0	600
