trial	x	y	L Validity	time
1	765.46	279.83	1	4
1	762.59	281.66	1	8
1	764.49	280.66	1	12
1	765.36	279.57	1	16
1	765.04	279.16	1	20
1	765.74	279.39	1	24
1	765.67	280.24	1	28
1	767.05	279.54	1	32
1	767.89	279.54	1	36
1	766.35	277.45	1	40
1	766.4	278.38	1	44
1	765.28	278.63	1	48
1	766.81	278.59	1	52
1	763.74	277.3	1	56
1	765.45	276.81	1	60
1	764.44	276.51	1	64
1	763.82	277.61	1	68
1	764.48	275.36	1	72
1	764.12	276.36	1	76
1	765.21	273.26	1	80
1	765.35	275.22	1	84
1	765.62	275.63	1	88
1	764.32	273.6	1	92
1	763.62	272.04	1	96
1	764.36	274.61	1	100
1	764.59	274.32	1	104
1	763.98	275.21	1	108
1	765.6	273.14	1	112
1	765.33	273.68	1	116
1	765.05	273.1	1	120
1	763.31	273.32	1	124
1	763.17	273.39	1	128
1	763.61	274.05	1	132
1	764.64	275.32	1	136
1	763.3	276.52	1	140
1	764.32	275.87	1	144
1	763.42	275.97	1	148
1	763.32	275.81	1	152
1	762.8	275.91	1	156
1	762.45	275.59	1	160
1	762.63	275.42	1	164
1	763.62	276.09	1	168
1	762.56	275.37	1	172
1	761.68	274.88	1	176
1	761.01	274.74	1	180
1	762.34	275.45	1	184
1	762.6	275.17	1	188
1	761.9	275.59	1	192
1	761.87	275.7	1	196
1	762.58	276.55	1	200
1	762.78	277.17	1	204
1	762.53	278.05	1	208
1	761.51	277.91	1	212
1	762.55	278.89	1	216
1	763.39	278.79	1	220
1	762.65	278.82	1	224
1	763.48	277.99	1	228
1	762.88	278.4	1	232
1	763.7	278.68	1	236
1	765.3	278.27	1	240
1	764.61	274.03	1	244
1	763.1	276.51	1	248
1	762.63	277.81	1	252
1	763.02	276.99	1	256
1	761.93	276.07	1	260
1	761.53	274.12	1	264
1	762.58	278.63	1	268
1	761.35	273.46	1	272
1	760.09	276.65	1	276
1	760.09	274.24	1	280
1	759.61	273.27	1	284
1	758.76	277.6	1	288
1	759.06	278.06	1	292
1	759.62	278.6	1	296
1	760.6	277.96	1	300
1	761.26	278.99	1	304
1	760.22	280.29	1	308
1	760.49	278.15	1	312
1	760.03	280.66	1	316
1	759.91	280.37	1	320
1	760.09	281.31	1	324
1	760.29	283.33	1	328
1	759.38	280.63	1	332
1	759.82	282.18	1	336
1	760.8	282	1	340
1	759.52	283.27	1	344
1	758.18	283.13	1	348
1	758.78	281.69	1	352
1	758.93	283.3	1	356
1	760.15	282.08	1	360
1	759.66	282.05	1	364
1	759.16	279.89	1	368
1	0	0	0	372
1	754.37	277.62	1	376
1	746.92	276.63	1	380
1	744.08	274.54	1	384
1	740.03	274.18	1	388
1	736.74	271.42	1	392
1	734.47	271.15	1	396
1	729.98	271.99	1	400
1	724.46	273.11	1	404
1	724.79	270.84	1	408
1	721.34	269.08	1	412
1	719.34	269.31	1	416
1	718.77	270.24	1	420
1	718.67	271.4	1	424
1	717.12	271.16	1	428
1	718.37	270.03	1	432
1	717.77	270.43	1	436
1	718.31	270.36	1	440
1	718.4	268.77	1	444
1	719.85	267.1	1	448
1	719.25	267.39	1	452
1	719.76	266.94	1	456
1	720.58	267	1	460
1	720.56	267.93	1	464
1	720.48	267.71	1	468
1	721.53	267.76	1	472
