trial	x	y	L Validity	time
1	946.35	402.98	1	4
1	983.34	417.98	1	8
1	982.42	421.38	1	12
1	944.11	401.67	1	16
1	890.09	363.36	1	20
1	890.84	363.81	1	24
1	900.2	368.92	1	28
1	892.12	363.04	1	32
1	948.58	396.51	1	36
1	946.73	392.6	1	40
1	946.08	399.43	1	44
1	898.78	359.16	1	48
1	977.32	425.8	1	52
1	972.4	423.36	1	56
1	973.21	425.16	1	60
1	967.61	425.53	1	64
1	891.56	353.36	1	68
1	969.09	425.54	1	72
1	972.3	424.82	1	76
1	970.76	421.28	1	80
1	972.2	421.55	1	84
1	973.12	417.49	1	88
1	970.55	421.79	1	92
1	972.3	420.53	1	96
1	970.69	421.14	1	100
1	940.9	391.19	1	104
1	946.55	393.01	1	108
1	977.77	418.05	1	112
1	979.43	414.49	1	116
1	982.07	413.62	1	120
1	950.7	391.25	1	124
1	950.94	392.26	1	128
1	949.53	398.6	1	132
1	948.87	397.21	1	136
1	948.91	401.01	1	140
1	948.86	403.48	1	144
1	949.42	407.18	1	148
1	910.66	388.64	1	152
1	947.23	404.87	1	156
1	944.96	405.65	1	160
1	939.68	395.29	1	164
1	904.52	344.99	1	168
1	892.72	306.11	1	172
1	863.29	255.92	1	176
1	848.04	212.29	1	180
1	836.71	204.21	1	184
1	830.21	199.45	1	188
1	828.24	199.09	1	192
1	823.69	197.52	1	196
1	821.99	196.01	1	200
1	820.64	201.84	1	204
1	818.01	197.98	1	208
1	809.4	195.31	1	212
1	808.67	188.55	1	216
1	810.22	189.39	1	220
1	807.13	187.41	1	224
1	803.47	187.01	1	228
1	804.15	185.91	1	232
1	803.81	185.34	1	236
1	804.11	185.03	1	240
1	802.95	179.95	1	244
1	803.03	178.62	1	248
1	801.75	176.87	1	252
1	802.3	174.61	1	256
1	801.57	177.27	1	260
1	800.19	177.46	1	264
1	801.43	175.62	1	268
1	804.3	175.59	1	272
1	804.97	174.06	1	276
1	802.91	172.78	1	280
1	803.83	173.29	1	284
1	802.92	172.76	1	288
1	802.42	174.27	1	292
1	802.7	173.63	1	296
1	803.14	172.33	1	300
1	804.26	173.19	1	304
1	808.14	172.06	1	308
1	807.14	172.39	1	312
1	804.99	173.9	1	316
1	805.34	175.31	1	320
1	805.6	174.44	1	324
1	808.35	175.47	1	328
1	807.13	175.74	1	332
1	809.5	175.81	1	336
1	808.55	176.22	1	340
1	811.39	176.19	1	344
1	812.91	175.37	1	348
1	811.97	175.59	1	352
1	811.56	175.71	1	356
1	812.92	174.95	1	360
1	812.64	173.67	1	364
1	813.44	174.47	1	368
1	811.51	173.74	1	372
1	811.94	174.21	1	376
1	812.1	174.23	1	380
1	810.6	172.89	1	384
1	811.18	175.03	1	388
1	809.84	176.99	1	392
1	810.41	175.34	1	396
1	810.54	175.82	1	400
1	809.82	176.91	1	404
1	811.27	177.63	1	408
1	809.35	175.68	1	412
1	806.92	172.26	1	416
1	804.63	167.26	1	420
1	797.28	166.65	1	424
1	800.26	157.22	1	428
1	797.65	153.42	1	432
1	792.57	149.64	1	436
1	793.5	141.58	1	440
1	786.97	143.19	1	444
1	788.43	136.25	1	448
1	784.39	140.66	1	452
1	786.74	137.96	1	456
1	786.14	135.42	1	460
1	785.69	135.01	1	464
1	786.07	132.79	1	468
1	786.48	137.16	1	472
1	786.22	134.47	1	476
1	788.87	136.82	1	480
1	788.2	137.58	1	484
1	786.14	137.76	1	488
1	789.82	140.46	1	492
1	786.98	138.39	1	496
1	785.65	138.97	1	500
1	787.92	141.57	1	504
1	786.29	141.38	1	508
1	786.07	144.32	1	512
1	786.4	144.97	1	516
1	786.19	145.91	1	520
1	785.39	144.42	1	524
1	785.55	147.1	1	528
1	788.99	148.55	1	532
1	788.4	147.65	1	536
1	790.07	149.75	1	540
1	788.73	148.27	1	544
1	791.73	147.12	1	548
1	789.86	148.38	1	552
1	789.74	146.59	1	556
1	793.24	146.73	1	560
1	791.37	146.04	1	564
1	791.11	146.67	1	568
1	792.7	146.64	1	572
1	792.78	145.9	1	576
1	791.62	149.38	1	580
1	792.48	149.05	1	584
1	791.48	152.23	1	588
1	790.45	151.28	1	592
1	791.08	150.11	1	596
1	791.88	151.99	1	600
1	791.8	153.4	1	604
1	792.87	154.96	1	608
1	794.32	157.86	1	612
1	791.36	159.12	1	616
1	792.28	158.89	1	620
1	795.97	157.56	1	624
1	795.11	156.2	1	628
1	795.14	153.11	1	632
1	797.69	156.05	1	636
1	798.83	158.03	1	640
1	799.66	159.33	1	644
1	800.01	160.01	1	648
1	799.25	162.14	1	652
1	799.22	160.8	1	656
1	801.29	161.38	1	660
1	803.47	161.09	1	664
1	802.44	162.05	1	668
1	805.34	163.74	1	672
1	808.1	165.08	1	676
1	806.98	161.83	1	680
1	809.04	159.46	1	684
1	814.02	158.88	1	688
1	811.9	156.25	1	692
1	813.74	152.61	1	696
1	813.85	151.48	1	700
1	815.7	149.99	1	704
1	818.32	149.89	1	708
1	819.03	147.95	1	712
1	818.05	147.41	1	716
1	817.84	149.11	1	720
1	817.89	151.35	1	724
1	817.88	149.97	1	728
1	818.1	149.46	1	732
1	818.06	148.26	1	736
1	814.01	139.88	0	740
1	815.24	136.37	0	744
1	813.78	136.3	0	748
1	811.35	137.38	0	752
1	0	0	0	756
1	818.27	146.83	1	760
1	817.93	149.59	1	764
1	817.86	154.03	1	768
1	815.09	152.95	1	772
1	814.3	150.74	1	776
1	814.2	149.5	1	780
1	813.45	145.59	1	784
1	815.24	146.56	1	788
1	812.74	148.23	1	792
1	814.68	149.55	1	796
1	816.26	147.88	1	800
1	819.07	148.72	1	804
1	817.67	149.81	1	808
1	817.3	150.89	1	812
1	820.38	151.25	1	816
1	820.4	151.59	1	820
1	819.54	151.51	1	824
1	820.66	152.37	1	828
1	821.42	150.25	1	832
1	822.19	148.08	1	836
1	822.93	146.38	1	840
1	821.62	146.15	1	844
1	820.4	147	1	848
1	820.72	147.76	1	852
1	821.3	143.56	1	856
1	821.05	142.93	1	860
1	819.02	143.78	1	864
1	817.76	143.74	1	868
1	816.53	142.4	1	872
1	818.46	142.38	1	876
1	822	139.76	1	880
1	822.35	141.94	1	884
1	822	144.25	1	888
1	818.12	148.47	1	892
1	816.57	199.2	1	896
1	817.81	282.8	1	900
1	0	0	0	904
1	0	0	0	908
1	0	0	1	912
1	0	0	0	916
1	0	0	0	920
1	0	0	0	924
1	0	0	0	928
1	-181.53	1109.8	1	932
1	0	0	0	936
1	0	0	0	940
1	92.44	1109.34	1	944
1	0	0	0	948
1	0	0	0	952
1	0	0	1	956
1	0	0	0	960
1	0	0	0	964
1	0	0	0	968
1	0	0	0	972
1	0	0	0	976
1	0	0	0	980
1	0	0	0	984
1	0	0	0	988
1	0	0	0	992
1	0	0	0	996
1	0	0	0	1000
1	0	0	0	1004
1	0	0	0	1008
1	0	0	0	1012
1	0	0	0	1016
1	0	0	0	1020
1	0	0	0	1024
1	0	0	0	1028
1	0	0	0	1032
1	0	0	0	1036
1	0	0	0	1040
1	0	0	0	1044
1	0	0	0	1048
1	0	0	0	1052
1	0	0	0	1056
1	0	0	0	1060
1	0	0	0	1064
1	0	0	0	1068
1	0	0	0	1072
1	0	0	0	1076
1	0	0	0	1080
1	0	0	0	1084
1	0	0	0	1088
1	0	0	0	1092
1	0	0	0	1096
1	0	0	0	1100
1	0	0	0	1104
1	0	0	0	1108
1	0	0	0	1112
1	0	0	0	1116
1	0	0	0	1120
1	0	0	0	1124
1	0	0	0	1128
1	0	0	0	1132
1	0	0	0	1136
1	0	0	0	1140
1	0	0	0	1144
1	0	0	0	1148
1	0	0	0	1152
1	0	0	0	1156
1	0	0	0	1160
1	0	0	0	1164
1	0	0	0	1168
