trial	x	y	L Validity	time
1	1197.29	423	1	4
1	1197.09	423.65	1	8
1	1197.97	426.46	1	12
1	1198.23	413.79	1	16
1	1199.19	425.9	1	20
1	1199.82	400.65	1	24
1	1200.29	401.83	1	28
1	1199.91	407.79	1	32
1	1199.19	402.24	1	36
1	1199.4	401.69	1	40
1	1198.74	406.09	1	44
1	1199.15	417.9	1	48
1	1198.2	405.34	1	52
1	1197.08	417.19	1	56
1	1196.27	422.16	1	60
1	1195.58	422.45	1	64
1	1195.49	422.26	1	68
1	1195.5	423.24	1	72
1	1196.25	422.32	1	76
1	1196.24	425.6	1	80
1	1196.5	426.61	1	84
1	1195.68	427.16	1	88
1	1194.78	426.51	1	92
1	1194.83	427.12	1	96
1	1194.84	425.39	1	100
1	1194.42	422.81	1	104
1	1194.4	422.53	1	108
1	1193.33	421.01	1	112
1	1192.45	420.64	1	116
1	1191.55	419.86	1	120
1	1191.71	404.78	1	124
1	1191.17	407.13	1	128
1	1192.79	404.27	1	132
1	1190.53	400.26	1	136
1	1190.92	392.53	1	140
1	1191.45	401.53	1	144
1	1190.12	406.83	1	148
1	1189.7	401.06	1	152
1	1190.91	394.15	1	156
1	1192.06	395.3	1	160
1	1192.99	400.1	1	164
1	1193.58	403.7	1	168
1	1195.08	392.33	1	172
1	1195.27	408.87	1	176
1	1197.7	408.38	1	180
1	1200.11	440.06	1	184
1	1200.62	430.66	1	188
1	1200.07	426.57	1	192
1	1183.19	421.1	1	196
1	1050.61	401.84	1	200
1	963.04	384.75	1	204
1	894.64	363.93	1	208
1	851.24	350.5	1	212
1	839.21	320.83	1	216
1	837.64	324	1	220
1	838.72	320.47	1	224
1	833.8	306.57	1	228
1	830.03	304.09	1	232
1	830.68	300.53	1	236
1	829.1	300.85	1	240
1	828.12	300.43	1	244
1	824.2	299.25	1	248
1	822.07	297.46	1	252
1	820.75	298.01	1	256
1	820.52	299.9	1	260
1	819.91	301.69	1	264
1	819.18	301.77	1	268
1	819.84	303.15	1	272
1	821.31	304.22	1	276
1	822.38	304.55	1	280
1	823.36	304.13	1	284
1	823.6	305.06	1	288
1	825.88	305.78	1	292
1	824.32	304.63	1	296
1	824.21	302.56	1	300
1	824.96	301.39	1	304
1	826.16	299.76	1	308
1	825.98	299.1	1	312
1	825.7	300.24	1	316
1	822.95	340.88	1	320
1	822.84	300.38	1	324
1	824.57	300.84	1	328
1	823	299.93	1	332
1	822.82	301.66	1	336
1	824.99	301.67	1	340
1	825.15	303.76	1	344
1	824.94	304.98	1	348
1	825.48	305.68	1	352
1	826.57	307.71	1	356
1	826.28	308.23	1	360
1	826.78	310.46	1	364
1	826.9	309.74	1	368
1	826.72	311.7	1	372
1	824.94	312.6	1	376
1	824.3	312.32	1	380
1	824.73	324.07	1	384
1	824.2	312.08	1	388
1	825.35	312.52	1	392
1	821.07	314.75	1	396
1	810.84	311.43	1	400
1	772.25	303.46	1	404
1	755.94	258.65	1	408
1	761.37	223.08	1	412
1	752.31	206.66	1	416
1	741.98	200.58	1	420
1	742.08	196.52	1	424
1	738.07	190.85	1	428
1	733.55	189.03	1	432
1	733.7	189.31	1	436
1	730.8	188.76	1	440
1	729.41	185.15	1	444
1	728.65	179.88	1	448
1	729.31	179.74	1	452
1	728.34	181.16	1	456
1	727.66	180.42	1	460
1	727.22	180.63	1	464
1	727.14	181.48	1	468
1	726.79	182.34	1	472
1	726.66	183.19	1	476
1	725.7	182.15	1	480
1	726.06	182.1	1	484
1	726.4	182.73	1	488
1	726.81	184.67	1	492
1	725.12	183.96	1	496
1	723.31	181.78	1	500
