trial	x	y	L Validity	time
1	649.88	642.37	1	4
1	647.41	642.23	1	8
1	649.96	642.73	1	12
1	650.28	642.43	1	16
1	651.76	642.45	1	20
1	654.01	642	1	24
1	655.22	641.22	1	28
1	655.78	640.5	1	32
1	657.75	640.98	1	36
1	653.67	640.69	1	40
1	654.24	640.99	1	44
1	648.13	640.89	1	48
1	646.89	641.58	1	52
1	648.13	641.53	1	56
1	644.72	641.85	1	60
1	645.71	642.21	1	64
1	646.46	642.54	1	68
1	651.38	643.16	1	72
1	648.33	643.03	1	76
1	653.89	642.74	1	80
1	656.92	643.51	1	84
1	659.03	643.33	1	88
1	662.76	643.38	1	92
1	664.7	643.21	1	96
1	665.98	642.77	1	100
1	667.42	642.29	1	104
1	668.4	641.59	1	108
1	669.64	641.85	1	112
1	668.66	641.57	1	116
1	670.49	642.14	1	120
1	669.19	641.78	1	124
1	669.67	641.66	1	128
1	670.32	641.75	1	132
1	669.39	641.57	1	136
1	668.14	641.71	1	140
1	667.02	641.76	1	144
1	666.94	642.04	1	148
1	666	642.69	1	152
1	664.91	642.61	1	156
1	665.06	643.44	1	160
1	664.94	643.23	1	164
1	665.4	643.5	1	168
1	664.34	644.57	1	172
1	664.35	644.4	1	176
1	662.1	644.38	1	180
1	661.31	644.5	1	184
1	660.91	644.52	1	188
1	660.3	644.67	1	192
1	659.23	643.91	1	196
1	658.57	643.92	1	200
1	659.5	643.85	1	204
1	658.18	643.66	1	208
1	660.43	640.57	1	212
1	661.42	631.57	1	216
1	669.79	606.03	1	220
1	673.63	581.4	1	224
1	681.59	578.14	1	228
1	685.52	576.92	1	232
1	685.08	571.1	1	236
1	690.55	567.53	1	240
1	694.43	564.92	1	244
1	697.46	563.05	1	248
1	698.89	561.2	1	252
1	701.85	558.82	1	256
1	704.47	556.68	1	260
1	704.12	556.26	1	264
1	705.41	557.47	1	268
1	705.29	558.09	1	272
1	707.42	558.2	1	276
1	707.58	558.82	1	280
1	710.05	558.93	1	284
1	708.57	558.97	1	288
1	706.82	559.39	1	292
1	707.28	559.88	1	296
1	708.03	560.34	1	300
1	706.7	560.45	1	304
1	705.88	560.16	1	308
1	705.63	560.03	1	312
1	703.71	559.33	1	316
1	701.25	558.09	1	320
1	701.21	557.43	1	324
1	699.56	556.23	1	328
1	697.38	555.65	1	332
1	696.22	555.13	1	336
1	691.66	555.09	1	340
1	690.86	555.77	1	344
1	689.24	556.14	1	348
1	688.35	557.6	1	352
1	691.28	557.91	1	356
1	690.42	557.65	1	360
1	693.01	558.25	1	364
1	691.96	558.41	1	368
1	692.25	558.67	1	372
1	694.37	558.58	1	376
1	692.75	557.73	1	380
1	693.58	556.89	1	384
1	697.29	556.23	1	388
1	696.65	555.14	1	392
1	697.06	554.08	1	396
1	697.39	554.21	1	400
1	692.9	554.8	1	404
1	693.74	554.61	1	408
1	695.33	555.4	1	412
1	693.3	556.58	1	416
1	688.75	559.42	1	420
1	684.47	562.91	1	424
1	679.11	566	1	428
1	681.02	570.49	1	432
1	675.77	572.85	1	436
1	666.03	574.93	1	440
1	664.39	577.51	1	444
1	660.99	579.68	1	448
1	658.59	581.58	1	452
1	653.49	583.48	1	456
1	655.92	584.6	1	460
1	654.9	584.22	1	464
1	652.13	583.69	1	468
1	656.97	582.96	1	472
1	656.78	581.41	1	476
1	654.46	580.01	1	480
1	662.45	579.24	1	484
1	661.7	578.74	1	488
1	664.37	577.62	1	492
1	666.33	577.42	1	496
1	664.31	577.47	1	500
