trial	x	y	L Validity	time
1	1018.06	513.74	1	4
1	1016.8	513.04	1	8
1	1017.61	518.57	1	12
1	1017.12	522.31	1	16
1	1017.13	526.08	1	20
1	1017.71	528.68	1	24
1	1017.96	530.97	1	28
1	1019.53	533.06	1	32
1	1019.17	532.74	1	36
1	1018.28	527.08	1	40
1	1019.65	528.57	1	44
1	1018.29	511.89	1	48
1	1019.05	511.05	1	52
1	1018.63	505.91	1	56
1	1018.77	503.9	1	60
1	1019.63	512.84	1	64
1	1019.33	508.62	1	68
1	1018.81	507.88	1	72
1	1017.59	504.32	1	76
1	1017.54	503.56	1	80
1	1017.73	506.28	1	84
1	1016.8	504.58	1	88
1	1017.67	506.94	1	92
1	1016.75	503.67	1	96
1	1017	508.83	1	100
1	1016.61	503.21	1	104
1	1014.96	500.36	1	108
1	1015.1	499.3	1	112
1	1016.06	496.31	1	116
1	1016.53	495.51	1	120
1	1015.9	493.41	1	124
1	1016.51	496.75	1	128
1	1016.95	494.83	1	132
1	1015.97	492.62	1	136
1	1016.16	495.13	1	140
1	1015.4	494.64	1	144
1	1015.2	495.57	1	148
1	1016.03	496.09	1	152
1	1015.03	497.6	1	156
1	1014.6	496.43	1	160
1	1014.89	490.36	1	164
1	1015	488.03	1	168
1	1016.9	483.44	1	172
1	1016.68	485.6	1	176
1	1016.85	487.31	1	180
1	1017.58	494.35	1	184
1	1019.35	498.17	1	188
1	1019.36	497.8	1	192
1	1018.98	486.25	1	196
1	1018.93	478.76	1	200
1	1018.45	474.11	1	204
1	1018.5	475.7	1	208
1	1019.22	485.93	1	212
1	1018.62	492.54	1	216
1	1017.86	493.87	1	220
1	1017.81	496.57	1	224
1	1017.91	497.69	1	228
1	1016.98	488.1	1	232
1	1015.98	490.07	1	236
1	1015.84	488.77	1	240
1	1017.2	484.62	1	244
1	1016.53	488.61	1	248
1	1012.64	493.51	1	252
1	961.79	490.95	1	256
1	865.14	486.27	1	260
1	815.07	483.92	1	264
1	794.32	483.13	1	268
1	790.9	476.66	1	272
1	799.52	471.73	1	276
1	809.53	465.2	1	280
1	812.67	459.27	1	284
1	815.45	471.37	1	288
1	818.47	474.79	1	292
1	817.66	474.63	1	296
1	815.99	472.62	1	300
1	814.29	472.51	1	304
1	815.81	461.63	1	308
1	819.85	473.5	1	312
1	821.89	477.46	1	316
1	822.31	476.05	1	320
1	821.68	471.18	1	324
1	821.01	464.64	1	328
1	820.19	472.37	1	332
1	818.32	466.34	1	336
1	817.55	472.47	1	340
1	817.4	472.46	1	344
1	817.81	468.08	1	348
1	817.68	468.65	1	352
1	817.39	464.58	1	356
1	817.08	467.75	1	360
1	817.1	466.9	1	364
1	817.23	468.2	1	368
1	816.96	470.24	1	372
1	816.78	472.43	1	376
1	816.61	475.49	1	380
1	816.14	471.7	1	384
1	815.85	462.05	1	388
1	814.49	469.32	1	392
1	814.69	471.04	1	396
1	814.15	470.98	1	400
1	814	471.07	1	404
1	813.47	467.53	1	408
1	812.93	471.85	1	412
1	813.03	475.19	1	416
1	811.84	476.84	1	420
1	811.98	475.11	1	424
1	812.32	472.9	1	428
1	812.38	477.13	1	432
1	811.61	478.25	1	436
1	811.26	475.47	1	440
1	811.4	465.04	1	444
1	811.51	477.95	1	448
1	812.34	479.18	1	452
1	812.27	477.01	1	456
1	811.62	471.23	1	460
1	811.81	468.46	1	464
1	812.08	467.79	1	468
1	811.22	464.54	1	472
1	810.54	461.24	1	476
1	811.6	461.88	1	480
1	812.69	465.27	1	484
1	812.21	467.76	1	488
1	812.55	457.29	1	492
1	811.07	458.92	1	496
1	812.21	459.41	1	500
1	812.77	465.12	1	504
1	813.04	468.54	1	508
1	812.64	456.18	1	512
1	813.59	457.51	1	516
1	814.06	466.64	1	520
1	814.27	469.45	1	524
1	813.94	467.34	1	528
1	813.9	467.24	1	532
1	812.96	467.34	1	536
1	812.74	466.05	1	540
1	811.36	466.45	1	544
1	809.91	454.3	1	548
1	809.56	446.26	1	552
1	809.65	445.14	1	556
1	810.12	449.49	1	560
1	810.74	458.73	1	564
1	810.56	464.99	1	568
1	810.69	467.41	1	572
1	810.73	465.78	1	576
1	811.81	466.89	1	580
1	812.43	466.24	1	584
1	812.66	467.67	1	588
1	813.26	468.96	1	592
1	811.7	451.08	1	596
1	804.74	423.21	1	600
1	794.93	376.63	1	604
1	784.58	311.5	1	608
1	776.92	291.34	1	612
1	768.65	294.49	1	616
1	762.95	295.59	1	620
1	761.49	291.21	1	624
1	758.34	285.7	1	628
1	757.03	284.98	1	632
1	753.3	288.28	1	636
1	751.58	289.75	1	640
1	749.73	290.23	1	644
1	749.05	287.18	1	648
1	748.82	287.36	1	652
1	748.49	287.9	1	656
1	748.54	287.5	1	660
1	748.29	285.16	1	664
1	747.57	284.01	1	668
1	747.07	284.4	1	672
1	746.53	287.44	1	676
1	747.22	292.04	1	680
1	747.09	295.94	1	684
1	748.78	294.19	1	688
1	748.66	296.15	1	692
1	749.49	296.25	1	696
1	751.05	297.53	1	700
1	751.25	298.53	1	704
1	752.04	300.29	1	708
1	752.86	300.48	1	712
1	753.73	300.91	1	716
1	752.78	300.1	1	720
1	753.3	298.01	1	724
1	754.13	297.07	1	728
1	753.74	296.63	1	732
1	754.22	295.98	1	736
1	753.38	293.62	1	740
1	751.63	288.84	1	744
1	750.27	285.11	1	748
1	748.11	284	1	752
1	746.48	281.93	1	756
1	745.13	281.53	1	760
1	744.37	278.7	1	764
1	742.72	279.17	1	768
1	740.91	281.01	1	772
1	739.78	280.45	1	776
1	739.82	280.62	1	780
1	740.46	281.68	1	784
1	740.96	279.89	1	788
1	741.54	288.89	1	792
1	742.04	288.46	1	796
1	743.49	289.22	1	800
1	744.23	290.11	1	804
1	745.01	295.16	1	808
1	745.38	294.3	1	812
1	745.95	292.69	1	816
1	746.49	290.92	1	820
