trial	x	y	L Validity	time
1	890.16	289.2	1	4
1	890.93	288.42	1	8
1	891.19	287.12	1	12
1	891.36	288.6	1	16
1	892.17	286.53	1	20
1	892.58	286.5	1	24
1	893.01	286.65	1	28
1	892.98	285.06	1	32
1	892.48	283.41	1	36
1	892.13	280.89	1	40
1	891.67	280.29	1	44
1	891.56	278.78	1	48
1	889.72	279.07	1	52
1	887.37	279.36	1	56
1	888.85	278.72	1	60
1	886.13	283.45	1	64
1	877.46	280.46	1	68
1	845.26	280.37	1	72
1	785.28	277.5	1	76
1	761.3	275.61	1	80
1	757.7	274.77	1	84
1	765.12	273.12	1	88
1	766.38	274.16	1	92
1	764.27	272.24	1	96
1	760.65	271.85	1	100
1	762.59	270.55	1	104
1	759.06	268.35	1	108
1	757.61	267.2	1	112
1	756.21	263.9	1	116
1	753.67	264.56	1	120
1	755.76	263.86	1	124
1	755.07	264.05	1	128
1	753.38	265.77	1	132
1	752.22	264.05	1	136
1	749.53	264.69	1	140
1	748.62	263.71	1	144
1	749.54	264.36	1	148
1	751.42	265.26	1	152
1	750.61	265.28	1	156
1	747.71	265.51	1	160
1	748.82	265.3	1	164
1	752.18	265.48	1	168
1	753.57	266.61	1	172
1	752.17	266.98	1	176
1	749.97	267.32	1	180
1	753.62	268.04	1	184
1	755.91	268.56	1	188
1	755.64	268.33	1	192
1	751.4	267.83	1	196
1	755.75	272.32	1	200
1	757.13	269.87	1	204
1	756.87	270.44	1	208
1	750.73	269.3	1	212
1	754.07	272.11	1	216
1	754.17	272.15	1	220
1	755.13	272.23	1	224
1	754.27	271.3	1	228
1	754.57	270.49	1	232
1	756.05	269.47	1	236
1	755.09	269.06	1	240
1	752.51	268.59	1	244
1	751.48	265.77	1	248
1	753.66	235.27	1	252
1	756.56	157.98	1	256
1	759.07	116.34	1	260
1	760.43	109.81	1	264
1	759.96	104.73	1	268
1	763.2	104.56	1	272
1	763.33	99.16	1	276
1	761.84	101.99	1	280
1	761.22	105.81	1	284
1	762.01	105.78	1	288
1	763.17	104.35	1	292
1	761.23	104.93	1	296
1	760.01	102.11	1	300
1	758.19	102.56	1	304
1	759.21	103.28	1	308
1	759.57	104.34	1	312
1	757.49	102.78	1	316
1	756.08	103.16	1	320
1	754	103.96	1	324
1	753.85	102.77	1	328
1	754.73	101.15	1	332
1	756.02	101.09	1	336
1	754.88	102.05	1	340
1	753.48	101.86	1	344
1	753.48	103.02	1	348
1	752.65	103.2	1	352
1	753.98	103.36	1	356
1	754.3	103.88	1	360
1	753.54	103.99	1	364
1	754.81	104.03	1	368
1	753.84	103.36	1	372
1	753.72	103.3	1	376
1	755.18	102.85	1	380
1	755.77	101.85	1	384
1	755.16	102.65	1	388
1	753.2	100.86	1	392
1	752.65	100.23	1	396
1	752.91	99.24	1	400
1	753.47	99.39	1	404
1	751.13	99.35	1	408
1	751.06	99.18	1	412
1	749.78	100.38	1	416
1	749.65	100.2	1	420
1	751.6	99.63	1	424
1	749.17	99.82	1	428
1	745.26	97.94	1	432
1	745.69	96.32	1	436
1	742.41	96.68	1	440
1	740.23	96.72	1	444
1	735.74	98.53	1	448
1	734.55	97.89	1	452
1	733.53	96.68	1	456
1	733.62	96.04	1	460
1	729.93	96.23	1	464
1	727.64	96.2	1	468
1	726.85	96.43	1	472
1	728.69	98.09	1	476
1	728.57	99.11	1	480
1	728.55	98.91	1	484
1	728.96	97.39	1	488
1	730.4	96.68	1	492
1	730.62	96.29	1	496
1	730.8	95.24	1	500
1	730.64	94.62	1	504
1	730.83	95.8	1	508
1	732.66	95.41	1	512
1	732.53	96.43	1	516
1	731.07	95.28	1	520
1	730.9	94.04	1	524
1	730.7	95.59	1	528
1	731.09	96.6	1	532
1	730.44	97.5	1	536
1	730.18	98.5	1	540
1	730.43	99.4	1	544
1	730.65	101.19	1	548
1	731.66	102.28	1	552
1	732.71	100.92	1	556
1	731.4	100.54	1	560
1	732.07	101.1	1	564
1	732.09	102.73	1	568
1	732.09	102.05	1	572
1	731.05	102.03	1	576
1	731.25	100.66	1	580
1	731.02	100.2	1	584
1	731.83	102.03	1	588
1	731.15	102.43	1	592
1	730.17	100.07	1	596
1	728.64	103.7	1	600
1	730.25	105.07	1	604
1	731.01	105.01	1	608
1	731.86	105.66	1	612
1	731.85	106.55	1	616
1	730.1	107.68	1	620
1	727.55	107.96	1	624
1	721.87	109.42	1	628
1	722.01	108.6	1	632
1	716.52	109	1	636
1	710.14	109.22	1	640
1	711.25	109.53	1	644
1	713.7	109.13	1	648
1	709.17	109.34	1	652
1	704.72	108.46	1	656
1	704.1	107.94	1	660
1	703.96	109.22	1	664
1	701.57	109.19	1	668
1	701.2	110.62	1	672
1	700.77	112.77	1	676
1	701.75	113.29	1	680
1	703.09	112.98	1	684
1	704.1	113.14	1	688
1	702.77	114.03	1	692
1	701.44	113.95	1	696
1	702.8	113.6	1	700
1	703.74	114.07	1	704
1	703.24	113.81	1	708
1	702.85	115.34	1	712
1	703.56	112.91	1	716
1	702.62	111.79	1	720
1	703.29	113.55	1	724
1	702.95	112.52	1	728
1	702.69	113.92	1	732
1	702.4	115.41	1	736
1	704.75	114.51	1	740
1	704.81	115.32	1	744
1	703.41	116.22	1	748
1	704.05	116.83	1	752
1	704.37	116.36	1	756
1	705.4	114.55	1	760
1	706.48	116.66	1	764
1	704.82	116.37	1	768
1	705.91	115.69	1	772
1	705.74	115.35	1	776
1	703.57	115.15	1	780
1	701.55	116.91	1	784
1	702.32	115.97	1	788
1	703.47	116.67	1	792
1	0	0	0	796
1	702.3	116.76	1	800
1	702.49	116.84	1	804
1	701.93	118.23	1	808
1	701.64	118.8	1	812
1	701.84	119.79	1	816
1	701.55	118.73	1	820
1	703.25	118.94	1	824
1	704.07	119.78	1	828
1	704.21	119.29	1	832
1	703.45	120.5	1	836
1	702.55	121.06	1	840
1	701	121.94	1	844
1	702.68	122	1	848
1	703.78	121.83	1	852
1	704.79	121.52	1	856
1	705.19	121.31	1	860
1	704.93	124.5	1	864
1	711.69	125.38	1	868
1	733.02	126.43	1	872
1	738.02	126.19	1	876
1	737.07	124.91	1	880
1	751.12	124.74	1	884
1	757.96	122.98	1	888
1	761.7	123.58	1	892
1	759.22	123.15	1	896
1	759.19	122.72	1	900
1	760.87	122.28	1	904
1	762.16	120.06	1	908
1	761.96	118.79	1	912
1	761.09	118.27	1	916
