trial	x	y	L Validity	time
1	721.36	313.76	1	4
1	723.48	309.08	1	8
1	727.98	307.91	1	12
1	726.12	303.68	1	16
1	727.21	296.77	1	20
1	726.61	280.68	1	24
1	729.02	284.37	1	28
1	726.67	294.92	1	32
1	728.99	291.52	1	36
1	728.66	291.25	1	40
1	719.74	287.32	1	44
1	720.59	285.98	1	48
1	725.89	288.8	1	52
1	726.72	288.28	1	56
1	724.94	288.22	1	60
1	720.76	289.7	1	64
1	720.44	290.68	1	68
1	719.33	291.49	1	72
1	718.07	292.77	1	76
1	720.42	291.09	1	80
1	719.68	290.06	1	84
1	716.68	293.2	1	88
1	721.09	294.54	1	92
1	721.08	295.25	1	96
1	721.17	294.64	1	100
1	720.67	294.61	1	104
1	724.42	291.36	1	108
1	724.77	288.04	1	112
1	725.2	282.95	1	116
1	720.67	280.3	1	120
1	726.62	297.74	1	124
1	729.39	300.33	1	128
1	726.15	299.25	1	132
1	0	0	0	136
1	727.1	284.31	1	140
1	726.25	286.96	1	144
1	720.1	287.89	1	148
1	725.21	283.08	1	152
1	718.09	277.21	1	156
1	722.63	275.79	1	160
1	721.54	272.69	1	164
1	722.31	270.05	1	168
1	725.53	292.38	1	172
1	721.49	299.15	1	176
1	725.31	298.96	1	180
1	722.24	299.36	1	184
1	723.79	299.74	1	188
1	726.31	301.89	1	192
1	729.75	302.14	1	196
1	726.38	305.2	1	200
1	721.41	309.12	1	204
1	719.11	303.68	1	208
1	716.63	305.47	1	212
1	726.42	306.16	1	216
1	728.85	296.67	1	220
1	728	246.46	1	224
1	732.07	243.3	1	228
1	741.78	228.4	1	232
1	745.96	215.07	1	236
1	760.96	202.87	1	240
1	762.94	205.87	1	244
1	759.01	203.59	1	248
1	766.73	201.25	1	252
1	770.26	197.77	1	256
1	765.82	189.85	1	260
1	772.9	190.82	1	264
1	775.14	189.47	1	268
1	768.57	184.07	1	272
1	776.67	185.86	1	276
1	774.68	187.88	1	280
1	772.32	190.23	1	284
1	772.74	194.64	1	288
1	764.54	190.98	1	292
1	771.37	196.6	1	296
1	769.06	197.1	1	300
1	763.63	195.53	1	304
1	768.68	200.65	1	308
1	761.59	198.62	1	312
1	761.76	200.64	1	316
1	764.04	206.06	1	320
1	761.29	203.96	1	324
1	759.86	204.04	1	328
1	761.39	207.49	1	332
1	759.92	205.15	1	336
1	759.12	203.7	1	340
1	762.32	207.89	1	344
1	764.85	212.22	1	348
1	760.3	207.2	1	352
1	764.12	211.02	1	356
1	765.72	216.67	1	360
1	761.27	208.5	1	364
1	762.32	214.83	1	368
1	770.12	210.06	1	372
1	762.74	212.36	1	376
1	760.15	205.21	1	380
1	761.89	209.18	1	384
1	761.13	204.58	1	388
1	765.29	201.93	1	392
1	757.39	198.28	1	396
1	751.69	200.57	1	400
1	754.6	193.93	1	404
1	760.94	199.14	1	408
1	760.91	198.59	1	412
1	758.22	199.41	1	416
1	757.17	202.07	1	420
1	760.39	199.63	1	424
1	760.42	200.49	1	428
1	762.94	199.81	1	432
1	767.82	198.75	1	436
1	770.5	199.24	1	440
1	771.77	198.76	1	444
1	769.24	199.68	1	448
1	766.22	195.35	1	452
1	766.66	194.68	1	456
1	764	193.59	1	460
1	763.02	192.93	1	464
1	765.01	194.79	1	468
1	765.08	195.32	1	472
1	764.49	195.37	1	476
1	767.95	195.71	1	480
1	763.37	195.55	1	484
1	759.11	193.45	1	488
1	759.04	193.42	1	492
1	759.82	194.13	1	496
1	759.6	197.02	1	500
1	760.56	197.56	1	504
1	760.85	196.05	1	508
1	758.04	195.25	1	512
1	775.9	194.28	1	516
1	784.45	193.23	1	520
1	781.8	189.46	1	524
1	789.12	186.59	1	528
1	797.94	186.2	1	532
1	787.82	184.77	1	536
1	787.21	182.07	1	540
1	796.1	180.27	1	544
1	803.19	176.98	1	548
1	807.39	175.34	1	552
1	809.68	173.35	1	556
1	811.93	172.7	1	560
1	810.17	170.55	1	564
1	805.65	168.4	1	568
1	803.68	169.36	1	572
1	801.23	170.21	1	576
1	799.73	171.14	1	580
1	801.06	168.51	1	584
1	798.83	168.04	1	588
1	804.67	169.57	1	592
1	804.5	170.99	1	596
1	803.14	171.5	1	600
1	803.92	171.37	1	604
1	806.3	173.66	1	608
1	808.46	174.31	1	612
1	810.8	175.03	1	616
1	815.1	175.71	1	620
1	816.8	175.01	1	624
1	807.62	176.64	1	628
1	813.07	175.8	1	632
1	811.46	174.58	1	636
1	811.31	173.43	1	640
1	811.36	173	1	644
1	814.38	176.27	1	648
1	815.92	175.96	1	652
1	816.59	175.44	1	656
1	815.24	174.57	1	660
1	816	173.74	1	664
1	821.9	173.66	1	668
