trial	x	y	L Validity	time
1	599.94	260.83	1	4
1	601.61	259.26	1	8
1	601.16	264.86	1	12
1	601.46	264.25	1	16
1	602.48	261.22	1	20
1	601.68	254.75	1	24
1	603.85	260.7	1	28
1	604.56	264.16	1	32
1	604.43	263.09	1	36
1	602.52	262.64	1	40
1	603.77	258.74	1	44
1	605.04	263.69	1	48
1	604.13	260.21	1	52
1	605.02	258.87	1	56
1	606.2	256.94	1	60
1	605.76	262.65	1	64
1	604.57	265.58	1	68
1	604.78	259.44	1	72
1	601.91	260.48	1	76
1	602.77	269.13	1	80
1	600.99	265.23	1	84
1	602.51	270.29	1	88
1	601.44	262.84	1	92
1	601.89	265.29	1	96
1	601.67	267.51	1	100
1	603.27	264.37	1	104
1	601.72	268.86	1	108
1	602.33	260.92	1	112
1	602.83	266.88	1	116
1	603.16	260.26	1	120
1	602.63	263.65	1	124
1	602.51	262.97	1	128
1	602.09	258.91	1	132
1	601.65	255.23	1	136
1	602.53	254.89	1	140
1	601.94	255.41	1	144
1	601.87	254.78	1	148
1	602.73	255.63	1	152
1	606.15	258.09	1	156
1	606.82	257.02	1	160
1	605.94	258.75	1	164
1	607.59	256.17	1	168
1	608.33	253.96	1	172
1	608.1	255.31	1	176
1	608.72	257.25	1	180
1	608.29	266.2	1	184
1	607.7	273.24	1	188
1	607.56	270.58	1	192
1	606.13	256.42	1	196
1	605.18	259.53	1	200
1	605.36	275.87	1	204
1	612.75	265.36	1	208
1	649.25	267.66	1	212
1	711.62	268.76	1	216
1	752.72	272.55	1	220
1	773.96	267.06	1	224
1	782.18	266.48	1	228
1	799	266.37	1	232
1	793.28	273.76	1	236
1	795.08	266.79	1	240
1	796.65	275.12	1	244
1	801.79	275.15	1	248
1	806.43	281.67	1	252
1	801.87	268.05	1	256
1	804.87	272.8	1	260
1	806.53	270.39	1	264
1	807.94	269.18	1	268
1	803.36	270.53	1	272
1	804.08	271.73	1	276
1	805.93	276.42	1	280
1	805.75	271.58	1	284
1	805.07	271.02	1	288
1	806.31	275.46	1	292
1	802.74	261.36	1	296
1	800.22	266.39	1	300
1	801.38	270.71	1	304
1	801.08	279.95	1	308
1	799.9	277.12	1	312
1	802.41	267.12	1	316
1	799.47	284.85	1	320
1	799.2	270.37	1	324
1	800.37	286.78	1	328
1	801.85	278.78	1	332
1	799.2	278.87	1	336
1	799.38	274.14	1	340
1	801.12	277.66	1	344
1	801.46	277.13	1	348
1	799.76	271.53	1	352
1	800.87	263.08	1	356
1	800.99	271.45	1	360
1	800.58	266.63	1	364
1	800.99	275.38	1	368
1	802.17	267.18	1	372
1	799.77	264.64	1	376
1	802.21	269.67	1	380
1	799.39	270	1	384
1	797.3	269.04	1	388
1	798.92	265.91	1	392
1	793.88	270.65	1	396
1	797.07	267.12	1	400
1	788.28	263.04	1	404
1	770.03	249.58	1	408
1	693.19	229.08	1	412
1	663.87	217.5	1	416
1	647.8	222.99	1	420
1	644.31	217.98	1	424
1	643	213.05	1	428
1	640.39	208.44	1	432
1	643.77	205.92	1	436
1	638.45	205.84	1	440
1	637.27	201.94	1	444
1	636.1	202.47	1	448
1	634.26	199.77	1	452
1	630.54	199.55	1	456
1	627.55	197.46	1	460
1	629.3	194.57	1	464
1	627.82	195.95	1	468
1	628.28	195.56	1	472
1	629.86	191.97	1	476
1	628.56	196.49	1	480
1	630.58	196.72	1	484
1	632.52	194.35	1	488
1	631.24	196.29	1	492
1	632.15	199.11	1	496
1	631.42	199.2	1	500
1	636.89	202.87	1	504
1	641.1	204.89	1	508
1	642.91	205.41	1	512
1	646.33	206.55	1	516
1	642.85	207.73	1	520
1	641.39	209.51	1	524
1	643.18	207.32	1	528
1	637.26	208.5	1	532
1	636.13	209.59	1	536
1	638.87	208.01	1	540
1	639.45	200.35	1	544
1	735.24	147.78	1	548
1	647.62	204.13	1	552
1	638.74	201.42	1	556
1	639.09	200.03	1	560
1	0	0	0	564
1	635.24	202.54	1	568
1	631.25	204.54	1	572
1	629.98	203.35	1	576
1	629.06	202.93	1	580
1	628.17	202.99	1	584
1	628.18	202.87	1	588
1	627.96	202.76	1	592
1	626.76	206.18	1	596
1	626.64	205.52	1	600
1	626.35	204.32	1	604
1	626.25	205.87	1	608
1	626.71	207.63	1	612
1	625.45	203.07	1	616
1	625.78	202.85	1	620
1	627.73	205.75	1	624
1	627.52	205.08	1	628
1	627.59	199.84	1	632
1	0	0	0	636
1	800.54	863.86	1	640
1	0	0	0	644
1	0	0	0	648
1	0	0	0	652
1	0	0	0	656
1	0	0	0	660
1	0	0	0	664
1	0	0	0	668
1	0	0	0	672
1	0	0	0	676
1	0	0	0	680
1	0	0	0	684
1	0	0	0	688
1	0	0	0	692
1	0	0	0	696
1	0	0	0	700
1	0	0	0	704
1	0	0	0	708
1	-72.28	215.15	1	712
1	0	0	0	716
1	0	0	0	720
1	0	0	0	724
1	0	0	0	728
1	0	0	0	732
1	0	0	0	736
1	0	0	0	740
1	0	0	0	744
1	0	0	0	748
1	599.32	52.72	1	752
1	610.19	115.87	1	756
1	619.35	106.18	1	760
1	620.4	103.36	1	764
1	0	0	0	768
1	637.4	189.93	1	772
1	636.47	182.85	1	776
1	637.9	194.53	1	780
1	650.46	188.88	1	784
1	644.36	190.42	1	788
1	635.32	196.62	1	792
1	617.71	201.2	1	796
1	648.92	202.69	1	800
1	666.5	203.85	1	804
1	660.57	204.9	1	808
1	681.53	226.23	1	812
1	684.89	218.44	1	816
1	674.31	213.59	1	820
1	679.95	211.67	1	824
1	681.89	208.7	1	828
1	684.32	233.75	1	832
1	690.17	222.01	1	836
1	689	224.2	1	840
1	695.45	223.01	1	844
1	698.71	225.12	1	848
1	702.98	223.87	1	852
1	704.01	220.26	1	856
1	704.88	219.92	1	860
1	714.78	225.78	1	864
1	711.88	228.89	1	868
1	714.3	233.88	1	872
1	714.76	234.55	1	876
1	716.41	237.25	1	880
1	717.11	233.38	1	884
1	709.62	235.9	1	888
1	721.62	231.46	1	892
1	714.84	243.94	1	896
1	714.79	246.34	1	900
1	719.32	244.4	1	904
1	711.32	259.28	1	908
1	710.26	248.19	1	912
1	712.54	229.26	1	916
1	705.77	241.67	1	920
1	716.97	226.64	1	924
1	724.04	217.17	1	928
1	724.57	227.25	1	932
1	730.23	215.35	1	936
1	730.26	207.8	1	940
1	732.44	203.21	1	944
